Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Alternativet,3276,2762,333,181,164,350,326,676,29,46,1,2244,436,17,18,2,27,18,43,3,2,0,255514,45,261420,-1,20221003,76,8,4,117,1,10,64,Rød blok
Andet,1539,1186,225,128,115,76480,1872,78352,21,0,3,889,102,2,152,4,23,14,23,1,1,0,195556,8,205440,-1,20221003,67,10,6,76480,1,4,52,Andet
Danmarksdemokraterne,778,671,74,33,34,610,271,881,0,0,0,604,52,0,6,0,4,5,17,2,0,3,298201,103,316194,124,20221003,46,4,2,305,0,3,39,Blå blok
Dansk Folkeparti,13383,10455,1466,1462,157,39905,1123,41028,39,0,1,6857,3350,48,58,35,78,29,51,2,2,0,560601,-46,570096,33,20221003,262,29,29,19953,2,66,205,Blå blok
Enhedslisten,4711,3820,717,174,186,0,0,0,81,0,0,3335,286,6,128,5,40,20,46,0,1,0,516804,-12,532247,-6,20221003,102,16,4,0,1,6,83,Rød blok
Frie Grønne,617,434,130,53,10,0,0,0,40,0,0,392,28,0,10,0,0,4,3,0,1,0,32389,15,35268,8,20221003,206,43,18,0,0,9,145,Rød blok
Konservative,8588,6863,1450,275,505,14020,448,14468,42,0,3,5767,773,28,173,9,57,56,73,5,3,0,632654,82,667061,58,20221003,118,20,4,2804,1,11,94,Blå blok
Kristendemokraterne,31758,15291,2150,14317,41,1516,1302,2818,133,0,5,13798,1332,18,82,5,15,41,17,3,3,0,63621,384,67116,378,20221003,1868,126,842,505,1,78,899,Blå blok
Liberal Alliance,11044,9432,956,656,216,80942,9238,90180,480,0,4,8111,133,103,934,96,43,12,44,5,11,0,389983,66,419789,52,20221003,251,22,15,16188,1,3,214,Blå blok
Løsgænger,496,406,85,5,4,0,0,0,0,0,0,394,8,2,1,0,0,1,2,0,0,0,112590,-25,140851,-35,20221003,248,43,3,0,0,4,203,Andet
Moderaterne,481,355,95,31,40,233,673,906,95,0,0,211,8,0,83,1,26,26,11,1,2,0,230969,-257,232824,-256,20221003,44,9,3,233,2,1,32,Blå blok
Nye Borgerlige,25053,19888,2628,2537,138,17733,5720,23453,279,0,9,18455,524,247,375,49,219,19,42,5,3,1,626571,143,730769,151,20221003,597,63,60,3547,5,12,474,Blå blok
Radikale Venstre,3504,2582,662,260,255,1042,639,1681,22,0,2,2066,101,10,79,138,96,92,55,4,3,2,641951,-50,667890,-60,20221003,64,12,5,261,2,2,47,Rød blok
Socialdemokratiet,37745,31163,5581,1001,577,3182,61,3243,614,30,15,24379,3094,39,1233,27,188,2203,98,4,4,0,1613616,22,1727911,-45,20221003,385,57,10,796,2,32,318,Rød blok
Socialistisk Folkeparti,19369,17211,1838,320,346,68165,1159,69324,93,0,2,14768,2127,24,109,8,22,153,61,4,3,1,691924,61,711284,29,20221003,318,30,5,17041,0,35,282,Rød blok
Venstre,8099,6451,1343,305,617,7495,344,7839,210,0,3,5992,76,25,220,14,83,41,99,6,2,0,941456,-777,986879,-695,20221003,82,14,3,1249,1,1,65,Blå blok
Alternativet,3606,3068,386,152,164,1739,274,2013,46,0,0,2450,546,4,30,15,8,15,64,1,5,0,255579,65,261487,67,20221004,56,6,2,1739,0,9,48,Rød blok
Andet,1867,1523,227,117,115,13447,505,13952,26,494,1,1284,131,3,10,48,11,36,24,5,1,0,195552,-4,205457,17,20221004,78,9,5,2689,0,5,63,Andet
Danmarksdemokraterne,8171,6791,1088,292,34,4890,2803,7693,0,0,3,6390,218,8,109,4,37,25,31,3,0,0,298253,52,316266,72,20221004,264,35,9,1630,1,7,219,Blå blok
Dansk Folkeparti,15443,12144,1497,1802,157,100380,17376,117756,193,0,3,10840,823,29,288,6,61,97,62,2,4,0,560473,-128,570057,-39,20221004,249,24,29,50190,1,13,196,Blå blok
Enhedslisten,10155,9082,854,219,186,3088,228,3316,31,0,2,8065,822,13,54,26,35,67,54,2,2,0,516690,-114,532184,-63,20221004,188,16,4,1544,1,15,168,Rød blok
Frie Grønne,2134,1725,347,62,10,6123,51,6174,0,0,0,1446,231,0,30,3,2,13,6,1,0,0,32407,18,35285,17,20221004,356,58,10,6123,0,39,288,Rød blok
Konservative,17975,14866,2737,372,505,11156,2186,13342,16,320,4,12431,905,12,323,105,60,1030,124,11,1,0,632939,195,667290,137,20221004,145,22,3,1014,0,7,120,Blå blok
Kristendemokraterne,600,443,89,68,41,107,437,544,23,0,5,397,26,0,8,1,2,9,18,1,3,0,63963,342,67460,344,20221004,33,5,4,107,0,1,25,Blå blok
Liberal Alliance,2451,2102,288,61,216,28684,662,29346,272,0,0,1822,83,2,100,8,69,18,30,1,1,0,390092,109,419907,118,20221004,82,10,2,28684,2,3,70,Blå blok
Løsgænger,1589,1438,149,2,4,0,0,0,0,0,0,1283,108,3,4,8,0,32,1,0,0,0,112565,-25,140821,-30,20221004,1589,149,2,0,0,108,1438,Andet
Moderaterne,2979,2534,390,55,40,98,0,98,0,0,0,2465,31,2,20,0,11,5,18,1,0,0,230927,-42,232794,-30,20221004,166,22,3,98,1,2,141,Blå blok
Nye Borgerlige,8334,7200,690,444,138,7152,723,7875,0,0,1,6894,155,21,71,7,45,7,43,3,0,1,626595,24,730761,-8,20221004,194,16,10,2384,1,4,167,Blå blok
Radikale Venstre,7686,6713,832,141,255,1740,187,1927,0,0,1,5596,808,6,84,7,142,70,65,1,0,2,641939,-12,667879,-11,20221004,118,13,2,1740,2,12,103,Rød blok
Socialdemokratiet,85396,73669,10135,1592,577,68315,8182,76497,230,0,5,62567,7673,132,2075,51,430,741,175,10,9,2,1613945,329,1728163,252,20221004,488,58,9,6832,2,44,421,Rød blok
Socialistisk Folkeparti,37045,32783,3108,1154,346,5769,406,6175,44,0,4,27978,2972,45,459,743,152,434,85,3,1,0,691961,37,711319,35,20221004,436,37,14,1923,2,35,386,Rød blok
Venstre,19183,17211,1683,289,617,29436,1716,31152,274,0,2,16033,573,28,313,27,99,138,118,6,7,2,941132,-324,986519,-360,20221004,163,14,2,4906,1,5,146,Blå blok
Alternativet,5906,4858,729,319,164,12090,713,12803,420,0,1,3806,876,1,114,9,32,20,73,4,2,0,255676,97,261577,90,20221005,81,10,4,3023,0,12,67,Rød blok
Andet,2531,1698,668,165,115,203840,1184,205024,5,0,5,1198,76,9,391,3,15,6,33,2,2,0,195542,-10,205431,-26,20221005,77,20,5,101920,0,2,51,Andet
Danmarksdemokraterne,29060,25010,3496,554,34,54606,4100,58706,876,0,4,22952,1565,20,276,15,117,65,34,6,2,0,298732,476,316890,555,20221005,855,103,16,9101,3,46,736,Blå blok
Dansk Folkeparti,19121,15235,2556,1330,157,56953,5204,62157,510,3363,3,13294,1295,32,324,15,205,70,112,9,13,0,560544,71,570160,103,20221005,171,23,12,6328,2,12,136,Blå blok
Enhedslisten,18698,15683,2353,662,186,413,32,445,27,0,1,13543,1717,21,200,29,84,89,160,3,3,0,516769,79,532280,96,20221005,117,15,4,138,1,11,98,Rød blok
Frie Grønne,2846,2052,576,218,10,17468,3850,21318,91,0,4,1650,230,2,128,3,30,9,12,8,2,0,32453,46,35332,47,20221005,237,48,18,2184,3,19,171,Rød blok
Konservative,35135,28449,5599,1087,505,412538,17524,430062,975,487,25,24785,1878,36,1238,45,374,93,264,65,39,0,633525,586,667898,608,20221005,133,21,4,6347,1,7,108,Blå blok
Kristendemokraterne,1269,784,403,82,41,28,0,28,125,28,0,676,26,4,45,19,12,2,34,1,5,0,64137,174,67629,169,20221005,37,12,2,28,0,1,23,Blå blok
Liberal Alliance,39826,35551,3056,1219,216,130689,26790,157479,569,0,2,30373,2113,22,2828,15,154,46,109,3,12,1,390845,753,420698,791,20221005,365,28,11,43563,1,19,326,Blå blok
Løsgænger,2300,2135,144,21,4,0,0,0,0,0,0,2058,51,3,13,0,4,6,2,0,0,0,112521,-44,140763,-58,20221005,1150,72,11,0,2,26,1068,Andet
Moderaterne,5818,4707,938,173,40,3613,1649,5262,79,81,0,4431,152,6,58,2,19,39,46,8,2,0,231115,188,233024,230,20221005,126,20,4,452,0,3,102,Blå blok
Nye Borgerlige,40725,35441,3659,1625,138,79819,8258,88077,124,0,3,32265,2692,20,269,9,108,78,94,7,4,0,627013,418,731166,405,20221005,433,39,17,11403,1,29,377,Blå blok
Radikale Venstre,8438,6865,1314,259,255,17393,2820,20213,990,665,23,5837,594,15,212,13,161,33,130,19,9,2,641973,34,667954,75,20221005,65,10,2,915,1,5,53,Rød blok
Socialdemokratiet,124406,103102,18405,2899,577,456105,17133,473238,2149,16433,9,85084,10790,104,5358,71,771,924,341,30,24,0,1614417,472,1728640,477,20221005,365,54,9,15204,2,32,302,Rød blok
