Navn,Parti,Afspilninger,Fans,Engagement,Reaktioner per afspilning,Delinger,Profile Likes,Likes,Kommentarer,Antal opslag,Profile Videos count (overall),Følgerudvikling,Totalt antal interaktioner,Video length in s (average),Profile-ID,Link,Interaktioner per afspilning,Storkreds,Køn,Uge
DSU,Socialdemokratiet,12264,1395,0.05915075815,0.01916604913,6,29900,494,70,3,73,48,570,10.66666667,7010793504905954310,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7010793504905954310&n=TIKTOK&tl0=profiles,0.04647749511,,,20220914
Dina Mofidi,Moderaterne,11000,154,0.111969112,0.001506493506,1,7898,101,14,1,9,16,116,11,6824618071623713798,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6824618071623713798&n=TIKTOK&tl0=profiles,0.01054545455,Nordjyllands Storkreds,,20220914
Daniel Tomicic,Frie Grønne,9943,176,0.2476374981,0.008230265758,13,2565,245,35,2,15,11,293,13,6828284661024113669,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6828284661024113669&n=TIKTOK&tl0=profiles,0.02946796741,Københavns Storkreds,M,20220914
Birgitte Klippert,Konservative,9839,427,0.1024919617,2.22E-02,5,7323,255,44,7,121,11,304,20.71428571,7047171652258661381,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7047171652258661381&n=TIKTOK&tl0=profiles,0.03089744893,Sydjyllands Storkreds,K,20220914
Samira Nawa,Radikale Venstre,9504,1159,0.02588352414,3.13E-03,0,15300,199,9,1,20,12,208,7,6793805014860628997,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6793805014860628997&n=TIKTOK&tl0=profiles,0.02188552189,Københavns Storkreds,K,20220914
Lars Høyer Holmqvist,Liberal Alliance,8908,795,0.07305605787,0.006478927449,1,30700,402,1,1,113,3,404,39,145986779408523264,https://www.fanpagekarma.com/discovery?view=PROFILES&id=145986779408523264&n=TIKTOK&tl0=profiles,0.04535249214,Nordsjællands Storkreds,M,20220914
Stefan Rundstrøm,Enhedslisten,8462,,1.57E-01,0.03319594013,0,,397,84,4,,,481,10.75,6532077461188902913,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6532077461188902913&n=TIKTOK&tl0=profiles,0.05684235405,Københavns Omegns Storkreds,,20220914
Konservativ Ungdom,Konservative,8264,2450,0.009261973152,0.00273129581,1,50800,150,7,1,92,18,158,10,6782560090551288837,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6782560090551288837&n=TIKTOK&tl0=profiles,0.01911907067,,,20220914
Marianne Karlberg,Frie Grønne,8194,205,0.5606060606,0.01354649744,16,12400,581,180,1,5,12,777,20,7135807500985779206,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135807500985779206&n=TIKTOK&tl0=profiles,0.09482548206,Sydjyllands Storkreds,K,20220914
Sofie Falck Villadsen,SF,8055,243,0.1096028155,0.006484723441,6,8607,168,8,3,18,14,182,16.66666667,6973568437398504454,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6973568437398504454&n=TIKTOK&tl0=profiles,0.0225946617,Københavns Omegns Storkreds,K,20220914
Sadek Al-Amood,SF,7949,346,0.1876584954,0.007979440361,7,7200,355,82,1,18,,444,59,6822600491164353542,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6822600491164353542&n=TIKTOK&tl0=profiles,0.05585608253,,,20220914
Venstres Ungdom,Venstre ,7372,1369,0.0375128502,0.02895703189,4,32300,265,89,2,80,21,358,4.5,6899149185438958593,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6899149185438958593&n=TIKTOK&tl0=profiles,0.04856212697,,,20220914
Marcus Danielsson,Venstre ,7245,,0.06255375551,0.00932175538,1,,109,13,4,,,123,11.25,7128318160525460485,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7128318160525460485&n=TIKTOK&tl0=profiles,0.01697722567,Sjællands Storkreds,,20220914
Christina Sade Olumeko,Alternativet,6549,62,0.519257327,8.41E-03,3,247,180,17,3,5,13,200,6.333333333,7107772229865964549,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7107772229865964549&n=TIKTOK&tl0=profiles,0.03053901359,Københavns Storkreds,K,20220914
Rajesh Holmen,Frie Grønne,5467,53,0.4925876011,0.008150392088,7,989,157,5,15,18,11,169,24.86666667,7109934982856131589,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7109934982856131589&n=TIKTOK&tl0=profiles,0.03091274922,Københavns Storkreds,M,20220914
Jens Meilvang,Liberal Alliance,5406,11600,0.005665024631,0.01215580572,34,5280,403,23,1,32,0,460,142,6995251258723156998,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6995251258723156998&n=TIKTOK&tl0=profiles,0.08509064003,Østjyllands Storkreds,M,20220914
Clara Halvorsen,Radikale Venstre,5373,176,0.1122555605,0.0071594553,0,1123,133,1,2,17,16,134,7,7125797508358308870,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7125797508358308870&n=TIKTOK&tl0=profiles,0.02493951238,Københavns Storkreds,K,20220914
Anne Sophie Callesen,Radikale Venstre,4832,120,0.1527950311,0.003636471145,1,290,114,8,2,6,15,123,14,7112100051094160390,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7112100051094160390&n=TIKTOK&tl0=profiles,0.02545529801,Sjællands Storkreds,K,20220914
Malene Grandjean,Venstre ,4769,102,0.0946272354,0.006047065985,2,317,63,1,8,24,6,66,14.625,7033492638126146565,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7033492638126146565&n=TIKTOK&tl0=profiles,0.01383937932,Sjællands Storkreds,K,20220914
Lucas Olsgaard,Moderaterne,4551,205,0.07146690456,0.006382526666,1,8038,97,4,4,95,7,102,6.25,7077126865735910405,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7077126865735910405&n=TIKTOK&tl0=profiles,0.02241265656,Københavns Omegns Storkreds,M,20220914
Mikkel Høj Bagger Larsson,Alternativet,4257,97,0.2179660893,0.009310435834,6,338,121,9,2,7,16,136,19,7103275822135608325,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7103275822135608325&n=TIKTOK&tl0=profiles,0.03194738078,Nordjyllands Storkreds,M,20220914
Yadvinder Singh,Frie Grønne,3396,442,0.05002633201,0.01293066685,3,11700,149,1,4,25,8,153,31.5,7070578549622670341,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7070578549622670341&n=TIKTOK&tl0=profiles,0.04505300353,Sjællands Storkreds,M,20220914
Jakob Søgaard Clausen,Andet,2947,124,0.04493087558,0.00189054244,1,1965,38,0,1,20,,39,25,7103984659075859461,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7103984659075859461&n=TIKTOK&tl0=profiles,0.01323379708,,,20220914
Casper Øhlers,Konservative,2566,1070,0.008970411032,0.003730096871,1,27000,51,15,1,68,7,67,10,7065627173391107077,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7065627173391107077&n=TIKTOK&tl0=profiles,0.0261106781,Københavns Storkreds,M,20220914
Line Krogh Lay,Radikale Venstre,1958,234,0.0231990232,0.00277250839,0,2401,37,1,2,19,1,38,37,6914041263709832197,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6914041263709832197&n=TIKTOK&tl0=profiles,0.01940755873,Sjællands Storkreds,K,20220914
Carl Valentin,SF,1924,1011,0.01166761525,0.006088506089,0,27700,76,6,1,30,10,82,74,6791984986301170694,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6791984986301170694&n=TIKTOK&tl0=profiles,0.04261954262,Københavns Storkreds,M,20220914
Jeanne Bergmansen,SF,1828,60,0.167495388,0.0151268946,0,374,55,7,4,30,14,62,30.25,7076738051074900998,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7076738051074900998&n=TIKTOK&tl0=profiles,0.03391684902,Sjællands Storkreds,K,20220914
Asham Agha Nadeem,Frie Grønne,1677,3611,0.003186997052,6.81E-03,3,120900,76,1,1,15,25,80,35,6760638649496683525,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6760638649496683525&n=TIKTOK&tl0=profiles,0.04770423375,Københavns Omegns Storkreds,M,20220914
Freja Fokdal,Radikale Venstre,1672,2605,0.003634761538,0.005639097744,0,91900,64,2,1,133,,66,5,6798963806716838917,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6798963806716838917&n=TIKTOK&tl0=profiles,0.03947368421,Sjællands Storkreds,K,20220914
Emil Samaras ,Enhedslisten,1650,205,0.04411764706,0.005454545455,1,1559,35,27,1,25,1,63,97,7125302595979920390,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7125302595979920390&n=TIKTOK&tl0=profiles,0.03818181818,Københavns Storkreds,M,20220914
Rebecca Marie Johansson,Radikale Venstre,1412,148,0.0222007722,2.33E-03,1,39,21,1,1,2,2,23,9,8448405,https://www.fanpagekarma.com/discovery?view=PROFILES&id=8448405&n=TIKTOK&tl0=profiles,0.01628895184,Østjyllands Storkreds,K,20220914
Esat Sentürk,Radikale Venstre,1373,126,0.01473922902,0.001352616793,0,427,13,0,1,4,1,13,6,7136503252066157573,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7136503252066157573&n=TIKTOK&tl0=profiles,0.009468317553,Københavns Omegns Storkreds,M,20220914
Monika Rubin,Moderaterne,1330,134,4.33E-02,0.004296455424,0,924,32,8,2,19,10,40,25.5,7094101549647479813,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7094101549647479813&n=TIKTOK&tl0=profiles,0.03007518797,Københavns Omegns Storkreds,M,20220914
Rikke Norlyk,Konservative,1291,,0.3015873016,0.002102467633,5,,13,1,1,,,19,14,7093097654704489478,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7093097654704489478&n=TIKTOK&tl0=profiles,0.01471727343,Sydjyllands Storkreds,,20220914
Anders Kronborg,Socialdemokratiet,1254,2,0.4285714286,0.002129278747,1,5,5,0,2,2,0,6,15,7113073966605321221,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7113073966605321221&n=TIKTOK&tl0=profiles,0.004784688995,Sydjyllands Storkreds,M,20220914
Charlotte Broman Mølbæk,SF,1213,61,7.73E-02,0.003886468025,0,568,33,0,1,4,3,33,6,7135047423466603526,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135047423466603526&n=TIKTOK&tl0=profiles,0.02720527617,Østjyllands Storkreds,K,20220914
Karin B Nissen,SF,1150,78,0.0469924812,0.007247517507,0,177,24,1,2,10,3,25,34,7107990840211899397,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7107990840211899397&n=TIKTOK&tl0=profiles,0.02173913043,Sydjyllands Storkreds,K,20220914
Brigitte Klintskov Jerkel,Konservative,1145,90,0.04444444444,0.003493449782,1,176,27,0,1,7,5,28,16,7061630983610893318,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7061630983610893318&n=TIKTOK&tl0=profiles,0.02445414847,Sjællands Storkreds,K,20220914
Barbara Krarup Hansen,Socialdemokratiet,1072,97,0.00583090379,5.33E-04,0,156,4,0,1,31,0,4,5,179082956785778688,https://www.fanpagekarma.com/discovery?view=PROFILES&id=179082956785778688&n=TIKTOK&tl0=profiles,0.003731343284,Sydjyllands Storkreds,K,20220914
Helle Laursen Petersen,Konservative,1006,36,0.1018589254,0.006625721898,0,189,23,1,2,9,8,24,10,7136799396591076357,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7136799396591076357&n=TIKTOK&tl0=profiles,0.02385685885,Sjællands Storkreds,K,20220914
Mohamed Abdikarim,Frie Grønne,991,7789,5.50E-04,0.007935118563,0,43700,30,0,2,209,-5,30,15.5,6683542085570806790,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6683542085570806790&n=TIKTOK&tl0=profiles,0.03027245207,Østjyllands Storkreds,M,20220914
Rosa Eriksen,Moderaterne,927,182,0.01104972376,0.002157497303,0,1395,12,2,1,28,4,14,26,6814076821329888262,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6814076821329888262&n=TIKTOK&tl0=profiles,0.01510248112,Fyns Storkreds,M,20220914
Thomas Elong,Venstre ,806,,0.07482993197,0.00194966324,1,,9,1,1,,,11,15,7144832683909317637,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7144832683909317637&n=TIKTOK&tl0=profiles,0.01364764268,Nordsjællands Storkreds,,20220914
Kim Valentin,Venstre ,770,21,0.1568627451,0.007472586919,1,58,18,1,2,6,4,20,72.5,7133877440279577606,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7133877440279577606&n=TIKTOK&tl0=profiles,0.02597402597,Københavns Omegns Storkreds,M,20220914
Carina Bloch Simonsen,Moderaterne,763,,0.06620209059,0.01519411091,3,,16,0,3,,,19,8.333333333,7140351064251515909,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7140351064251515909&n=TIKTOK&tl0=profiles,0.0249017038,Nordsjællands Storkreds,,20220914
Kim Malmberg Hansen,Dansk Folkeparti,457,3479,3.29E-04,0.002500781494,0,1563,8,0,1,29,5,8,49,6832192130841134086,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6832192130841134086&n=TIKTOK&tl0=profiles,0.01750547046,Københavns Storkreds,M,20220914
Svend Stein Olsen,Liberal Alliance,0,40,0,0,0,0,0,0,0,0,0,0,0,6890899542423061510,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6890899542423061510&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,M,20220914
Tobias Grotkjær,Moderaterne,0,79,0,0,0,0,0,0,0,0,2,0,0,7100915612511978501,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7100915612511978501&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,M,20220914
Alternativet,Alternativet,0,60,0,0,0,54,0,0,0,1,16,0,0,7138325907227722757,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7138325907227722757&n=TIKTOK&tl0=profiles,,,,20220914
Lean Milo,Moderaterne,0,21,0,0,0,34,0,0,0,9,4,0,0,7135735241432253445,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135735241432253445&n=TIKTOK&tl0=profiles,,Københavns Storkreds,M,20220914
Freya Luna,Moderaterne,0,,0,0,0,,0,0,0,,,0,0,158754325798772736,https://www.fanpagekarma.com/discovery?view=PROFILES&id=158754325798772736&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,,20220914
Malte Jäger,Nye Borgerlige,0,,0,0,0,,0,0,0,,,0,0,6889899921324819462,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6889899921324819462&n=TIKTOK&tl0=profiles,,Fyns Storkreds,,20220914
Andreas Karlsen,Konservative,0,120,0,0,0,135,0,0,0,1,3,0,0,6707900828898870277,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6707900828898870277&n=TIKTOK&tl0=profiles,,Sjællands Storkreds,M,20220914
Jakob Ellemann-Jensen,Venstre ,0,,0,0,0,,0,0,0,,,0,0,7148380785120592901,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7148380785120592901&n=TIKTOK&tl0=profiles,,,,20220914
Nilas Bay-Foged,Alternativet,0,,0,0,0,,0,0,0,,,0,0,7126288351304385541,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7126288351304385541&n=TIKTOK&tl0=profiles,,Sydjyllands Storkreds,,20220914
Claus Bøgh Svenningsen,Nye Borgerlige,0,22,0,0,0,0,0,0,0,0,0,0,0,6908874522196837381,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6908874522196837381&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,M,20220914
Marianne Porsborg,Liberal Alliance,0,,0,0,0,,0,0,0,,,0,0,7148400425018950662,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7148400425018950662&n=TIKTOK&tl0=profiles,,Nordsjællands Storkreds,,20220914
Niels Peder Ravn,Nye Borgerlige,0,73,0,0,0,48,0,0,0,1,2,0,0,7091130357403091974,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7091130357403091974&n=TIKTOK&tl0=profiles,,Københavns Storkreds,M,20220914
Astrid Vang Hansen,Enhedslisten,0,,0,0,0,,0,0,0,,,0,0,7109476556850611206,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7109476556850611206&n=TIKTOK&tl0=profiles,,Nordjyllands Storkreds,,20220914
Dansk Folkepartis Ungdom,Dansk Folkeparti,0,1238,0,0,0,13900,0,0,0,18,1,0,0,7015602857539175429,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7015602857539175429&n=TIKTOK&tl0=profiles,,,,20220914
Nikoline Linnemann Prehn,Socialdemokratiet,0,29,0,0,0,0,0,0,0,0,5,0,0,7111250960077063173,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7111250960077063173&n=TIKTOK&tl0=profiles,,Københavns Storkreds,K,20220914
Theresa Berg Andersen,SF,0,,0,0,0,,0,0,0,,,0,0,6791476804010083334,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6791476804010083334&n=TIKTOK&tl0=profiles,,Nordjyllands Storkreds,,20220914
Ammar Ali,Moderaterne,0,,0,0,0,,0,0,0,,,0,0,7129591282527814662,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7129591282527814662&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,K,20220914
Hanne Bjørn-Klausen,Konservative,0,,0,0,0,,0,0,0,,,0,0,6867187340700681221,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6867187340700681221&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,,20220914
Niels Kristian Larsen,SF,0,89,0,0,0,392,0,0,0,5,15,0,0,6808253941235860486,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6808253941235860486&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,M,20220914
Alex Vanopslagh,Liberal Alliance,0,12400,0,0,0,28000,0,0,0,5,100,0,0,6822169475418326022,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6822169475418326022&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,M,20220914
Pia Thorsen,Enhedslisten,0,,0,0,0,,0,0,0,,,0,0,6761056369707156486,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6761056369707156486&n=TIKTOK&tl0=profiles,,Nordjyllands Storkreds,,20220914
Henrik Vindfeldt,Alternativet,0,139,0,0,0,1031,0,0,0,10,-3,0,0,6820350388744700934,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6820350388744700934&n=TIKTOK&tl0=profiles,,NA,M,20220914
Mira Issa Bloch,Alternativet,0,,0,0,0,,0,0,0,,,0,0,6847165125147280389,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6847165125147280389&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,,20220914
Malene Ingwersen,Enhedslisten,0,16,0,0,0,0,0,0,0,0,0,0,0,6737273588393444358,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6737273588393444358&n=TIKTOK&tl0=profiles,,Nordjyllands Storkreds,K,20220914
Siff Tang Lassen,Konservative,0,182,0,0,0,1191,0,0,0,19,9,0,0,6926222618236716037,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6926222618236716037&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,K,20220914
Henriette Ergemann,Nye Borgerlige,0,,0,0,0,,0,0,0,,,0,0,7146584343979951109,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7146584343979951109&n=TIKTOK&tl0=profiles,,Sjællands Storkreds,,20220914
Henriette Søvind,Konservative,0,45,0,0,0,0,0,0,0,0,9,0,0,7117678255969633285,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7117678255969633285&n=TIKTOK&tl0=profiles,,Bornholms Storkreds,K,20220914
Clara Wolf,Alternativet,0,21,0,0,0,16,0,0,0,1,1,0,0,7054634556058403845,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7054634556058403845&n=TIKTOK&tl0=profiles,,Københavns Storkreds,K,20220914
Noah Reinert Sturis,Alternativet,0,,0,0,0,,0,0,0,,,0,0,6909703094159426566,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6909703094159426566&n=TIKTOK&tl0=profiles,,Københavns Storkreds,,20220914
Anna Thusgård,Socialdemokratiet,0,24,0,0,0,71,0,0,0,2,1,0,0,7060508639254070278,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7060508639254070278&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,K,20220914
Annette Juhler Kjær,Konservative,0,,0,0,0,,0,0,0,,,0,0,7052043224550884358,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7052043224550884358&n=TIKTOK&tl0=profiles,,Sjællands Storkreds,,20220914
