Navn,Parti,Afspilninger,Fans,Engagement,Reaktioner per afspilning,Delinger,Profile Likes,Likes,Kommentarer,Antal opslag,Profile Videos count (overall),Følgerudvikling,Totalt antal interaktioner,Video length in s (average),Profile-ID,Link,Interaktioner per afspilning,Storkreds,Køn,Uge
Lars Løkke Rasmussen,Moderaterne,40700,,0.3095639811,0.009776424548,12,,1348,26,2,,,1386,18,7146928677090493446,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7146928677090493446&n=TIKTOK&tl0=profiles,0.03405405405,Sjællands Storkreds,,20220920
Mikkel Høj Bagger Larsson,Alternativet,26748,139,2.069914099,0.02997655472,7,1663,1460,127,3,9,42,1594,11,7103275822135608325,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7103275822135608325&n=TIKTOK&tl0=profiles,0.05959324062,Nordjyllands Storkreds,M,20220920
Enhedslisten,Enhedslisten,24400,3893,0.1156622024,0.01820257611,20,89000,3034,55,1,39,100,3109,7,6932199707230635014,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6932199707230635014&n=TIKTOK&tl0=profiles,0.1274180328,,,20220920
Konservativ Ungdom,Konservative,20616,2477,0.033391599,0.008028091709,31,51400,505,41,2,94,27,577,11,6782560090551288837,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6782560090551288837&n=TIKTOK&tl0=profiles,0.02798797051,,,20220920
Carl Valentin,SF,18735,1035,0.1003564973,0.01123937492,11,28200,581,127,2,32,24,719,53.5,6791984986301170694,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6791984986301170694&n=TIKTOK&tl0=profiles,0.03837736856,Københavns Storkreds,M,20220920
Yadvinder Singh,Frie Grønne,17953,591,0.1860682035,0.01521138985,113,12600,566,42,3,28,149,721,30.66666667,7070578549622670341,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7070578549622670341&n=TIKTOK&tl0=profiles,0.04016041887,Sjællands Storkreds,M,20220920
Freja Fokdal,Radikale Venstre,17454,2628,0.04602802687,0.02576457417,5,92900,814,26,5,138,23,845,16.8,6798963806716838917,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6798963806716838917&n=TIKTOK&tl0=profiles,0.04841297124,Sjællands Storkreds,K,20220920
Zenia Stampe,Radikale Venstre,13931,110,1.891061875,0.02877534385,19,857,919,199,3,4,53,1137,50.66666667,7127573755999618054,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7127573755999618054&n=TIKTOK&tl0=profiles,0.08161653865,Sjællands Storkreds,K,20220920
Mads Olesen,SF,12545,922,0.101313325,0.03533191344,3,33800,523,121,6,78,28,647,10.16666667,7085790024892974086,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7085790024892974086&n=TIKTOK&tl0=profiles,0.0515743324,,,20220920
Socialistisk Folkeparti,SF,11868,1732,0.04626922272,0.02884583843,6,57100,535,15,4,114,36,556,15.5,6779495548661810181,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6779495548661810181&n=TIKTOK&tl0=profiles,0.04684866869,,,20220920
Venstres Ungdom,Venstre ,11108,1405,0.02327261305,0.02419380884,7,32800,205,16,2,81,36,228,5,6899149185438958593,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6899149185438958593&n=TIKTOK&tl0=profiles,0.02052574721,,,20220920
Thomas Elong,Venstre ,9811,,1.353741497,0.02339695,5,,193,1,7,,,199,10.28571429,7144832683909317637,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7144832683909317637&n=TIKTOK&tl0=profiles,0.02028335542,Nordsjællands Storkreds,,20220920
Jens Meilvang,Liberal Alliance,9099,11600,0.0147044335,0.01874617305,31,6040,1153,10,1,32,0,1194,130,6995251258723156998,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6995251258723156998&n=TIKTOK&tl0=profiles,0.1312232113,Østjyllands Storkreds,M,20220920
Birgitte Klippert,Konservative,8843,441,0.07557680876,0.02199333877,2,7606,215,13,7,128,14,230,11.71428571,7047171652258661381,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7047171652258661381&n=TIKTOK&tl0=profiles,0.02600927287,Sydjyllands Storkreds,K,20220920
Simon Nyborg Jensen,Alternativet,8263,,0.6818181818,0.01047795153,2,,167,41,3,,,210,17.33333333,7143912859452687365,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7143912859452687365&n=TIKTOK&tl0=profiles,0.02541449837,Fyns Storkreds,,20220920
Karina Lorentzen Dehnhardt,SF,7957,1575,0.0154669583,0.00861280674,2,27100,153,17,3,50,5,172,8.333333333,6829188372150895621,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6829188372150895621&n=TIKTOK&tl0=profiles,0.02161618701,Sydjyllands Storkreds,K,20220920
Jeanne Bergmansen,SF,7921,79,0.6503756267,0.02106000375,4,577,242,93,7,37,19,339,25,7076738051074900998,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7076738051074900998&n=TIKTOK&tl0=profiles,0.04279762656,Sjællands Storkreds,K,20220920
DSU,Socialdemokratiet,7371,1430,0.03826191753,0.01462314126,9,30700,328,42,2,75,35,379,16,7010793504905954310,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7010793504905954310&n=TIKTOK&tl0=profiles,0.05141771808,,,20220920
Charlotte Broman Mølbæk,SF,7326,84,0.5434065934,0.01042936755,11,798,254,7,2,6,23,272,6.5,7135047423466603526,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135047423466603526&n=TIKTOK&tl0=profiles,0.03712803713,Østjyllands Storkreds,K,20220920
Jan Bigum Warming,Nye Borgerlige,6934,,0.2730309904,0.02375883861,12,,324,29,8,,,365,50.875,7143003993349817349,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7143003993349817349&n=TIKTOK&tl0=profiles,0.05263916931,Sjællands Storkreds,,20220920
Sabrina Louise Christiansen,Enhedslisten,6787,,3.539951574,0.04541167928,49,,1372,41,2,,,1462,37.5,7145498391425287174,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7145498391425287174&n=TIKTOK&tl0=profiles,0.2154118167,Sydjyllands Storkreds,,20220920
Lene Burchardt,Konservative,6423,,1.770186335,0.01283877028,7,,204,74,3,,,285,30.66666667,7145814499442148357,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7145814499442148357&n=TIKTOK&tl0=profiles,0.04437178888,Nordjyllands Storkreds,,20220920
Mohamed Abdikarim,Frie Grønne,5877,7787,0.002054569936,0.007650705242,10,43700,99,3,4,213,-2,112,10.25,6683542085570806790,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6683542085570806790&n=TIKTOK&tl0=profiles,0.01905734218,Østjyllands Storkreds,M,20220920
Line Krogh Lay,Radikale Venstre,5824,262,0.08796606395,0.0185245566,5,2544,140,7,6,25,28,152,42.16666667,6914041263709832197,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6914041263709832197&n=TIKTOK&tl0=profiles,0.0260989011,Sjællands Storkreds,K,20220920
Daniel Tomicic,Frie Grønne,5607,191,0.1660433807,0.005656195062,4,2657,203,15,1,16,15,222,12,6828284661024113669,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6828284661024113669&n=TIKTOK&tl0=profiles,0.03959336544,Københavns Storkreds,M,20220920
Nikoline Erbs Hillers-Bendtsen,Alternativet,5422,205,0.1331822285,0.01472097573,3,1881,174,6,3,17,17,183,18.66666667,87719077644783616,https://www.fanpagekarma.com/discovery?view=PROFILES&id=87719077644783616&n=TIKTOK&tl0=profiles,0.03375138325,Østjyllands Storkreds,K,20220920
Brian Nielsen,Nye Borgerlige,5296,,0.04412698413,0.003749460509,3,,120,16,2,,,139,33,7132865213712319494,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7132865213712319494&n=TIKTOK&tl0=profiles,0.02624622356,Nordjyllands Storkreds,,20220920
Stefan Rundstrøm,Enhedslisten,5029,,0.09948622616,0.01654244622,1,,275,32,3,,,308,63.66666667,6532077461188902913,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6532077461188902913&n=TIKTOK&tl0=profiles,0.06124478027,Københavns Omegns Storkreds,,20220920
Sofie Lippert ,SF,4419,642,0.03654540297,0.01779900247,0,28800,114,47,2,16,23,161,28.5,6820400317084664837,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6820400317084664837&n=TIKTOK&tl0=profiles,0.03643358226,Østjyllands Storkreds,K,20220920
Nicola Emily Larsen,Konservative,4300,465,0.05221012172,0.005415282392,0,10200,141,22,1,23,33,163,7,7082979087409759237,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7082979087409759237&n=TIKTOK&tl0=profiles,0.03790697674,Københavns Storkreds,K,20220920
Sadek Al-Amood,SF,3971,364,0.1266352695,0.02270330656,4,7482,265,47,2,19,18,316,59,6822600491164353542,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6822600491164353542&n=TIKTOK&tl0=profiles,0.07957693276,,,20220920
Christina Sade Olumeko,Alternativet,3789,84,0.2637967227,0.01606913936,2,371,132,7,3,8,22,141,8,7107772229865964549,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7107772229865964549&n=TIKTOK&tl0=profiles,0.03721298496,Københavns Storkreds,K,20220920
Niels Kristian Larsen,SF,3524,113,0.2470718126,0.01315309134,0,605,124,40,2,8,24,164,29,6808253941235860486,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6808253941235860486&n=TIKTOK&tl0=profiles,0.04653802497,Vestjyllands Storkreds,M,20220920
Rajesh Holmen,Frie Grønne,3361,68,0.2449989022,0.01564171425,0,1123,65,35,5,24,15,100,43.8,7109934982856131589,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7109934982856131589&n=TIKTOK&tl0=profiles,0.02975304969,Københavns Storkreds,M,20220920
Benjamin Jørgensen,SF,3262,,0.1731601732,0.01101855892,1,,72,7,3,,,80,10.66666667,6808110088747893765,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6808110088747893765&n=TIKTOK&tl0=profiles,0.02452483139,Nordjyllands Storkreds,,20220920
Brigitte Klintskov Jerkel,Konservative,3201,106,0.1120986028,0.01118272819,3,244,77,3,3,10,16,83,8.333333333,7061630983610893318,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7061630983610893318&n=TIKTOK&tl0=profiles,0.02592939706,Sjællands Storkreds,K,20220920
Anne Sophie Callesen,Radikale Venstre,2938,145,0.1300304089,0.0117675428,1,400,111,9,2,8,25,121,20.5,7112100051094160390,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7112100051094160390&n=TIKTOK&tl0=profiles,0.04118447924,Sjællands Storkreds,K,20220920
Mia Tang,Konservative,2706,256,0.05580357143,0.005279273572,1,2337,83,16,1,12,2,100,42,7076148782341522437,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7076148782341522437&n=TIKTOK&tl0=profiles,0.036954915,Nordjyllands Storkreds,K,20220920
Nanna Høyrup,Alternativet,2690,,0.2380952381,0.007794902193,1,,24,0,2,,,25,11,7139824418595800070,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7139824418595800070&n=TIKTOK&tl0=profiles,0.009293680297,Nordsjællands Storkreds,,20220920
Troels Stru Schmidt,SF,2522,43,0.4047619048,0.006740681998,15,128,99,5,1,3,5,119,124,7039688240836740101,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7039688240836740101&n=TIKTOK&tl0=profiles,0.04718477399,Københavns Omegns Storkreds,K,20220920
Sofie Falck Villadsen,SF,2249,250,0.05147484095,0.005653306231,0,8899,77,12,1,19,7,89,8,6973568437398504454,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6973568437398504454&n=TIKTOK&tl0=profiles,0.03957314362,Københavns Omegns Storkreds,K,20220920
Alternativet,Alternativet,2155,90,0.1686746988,0.006496519722,3,122,89,6,1,2,30,98,33,7138325907227722757,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7138325907227722757&n=TIKTOK&tl0=profiles,0.04547563805,,,20220920
Malene Grandjean,Venstre ,2141,109,0.04792735846,0.006789046782,1,348,31,3,3,27,7,35,25.66666667,7033492638126146565,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7033492638126146565&n=TIKTOK&tl0=profiles,0.01634750117,Sjællands Storkreds,K,20220920
Karin B Nissen,SF,1996,79,0.05424954792,0.00761379134,0,189,17,13,2,12,1,30,15,7107990840211899397,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7107990840211899397&n=TIKTOK&tl0=profiles,0.01503006012,Sydjyllands Storkreds,K,20220920
Kim Malmberg Hansen,Dansk Folkeparti,1956,3538,0.002015621063,0.004720112103,2,1809,43,19,2,30,59,64,77,6832192130841134086,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6832192130841134086&n=TIKTOK&tl0=profiles,0.0327198364,Københavns Storkreds,M,20220920
Hanne Bjørn-Klausen,Konservative,1829,,0.1390977444,0.002889947669,1,,32,4,2,,,37,12,6867187340700681221,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6867187340700681221&n=TIKTOK&tl0=profiles,0.02022963368,Københavns Omegns Storkreds,,20220920
Esat Sentürk,Radikale Venstre,1790,143,0.03367346939,0.00263367917,1,561,27,5,1,6,17,33,14,7136503252066157573,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7136503252066157573&n=TIKTOK&tl0=profiles,0.01843575419,Københavns Omegns Storkreds,M,20220920
Jakob Søgaard Clausen,Andet,1658,126,0.04032258065,0.003015681544,1,2015,32,2,1,21,2,35,8,7103984659075859461,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7103984659075859461&n=TIKTOK&tl0=profiles,0.02110977081,,,20220920
Jacob Netteberg,Radikale Venstre,1442,39,0.07118107118,0.006601496687,0,61,19,0,3,17,3,19,33,6817679944002388998,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6817679944002388998&n=TIKTOK&tl0=profiles,0.01317614424,Nordsjællands Storkreds,M,20220920
Monika Rubin,Moderaterne,1436,147,0.04195804196,0.004178272981,0,999,41,1,1,20,13,42,18,7094101549647479813,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7094101549647479813&n=TIKTOK&tl0=profiles,0.02924791086,Københavns Omegns Storkreds,M,20220920
Lars Høyer Holmqvist,Liberal Alliance,1417,798,0.007348987274,0.004133481198,0,30900,41,0,2,115,3,41,43.5,145986779408523264,https://www.fanpagekarma.com/discovery?view=PROFILES&id=145986779408523264&n=TIKTOK&tl0=profiles,0.02893436838,Nordsjællands Storkreds,M,20220920
Carl Andersen,Liberal Alliance,1394,214,0.01700680272,0.00256200041,1,2568,23,1,1,22,5,25,11,6813760170583458822,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6813760170583458822&n=TIKTOK&tl0=profiles,0.01793400287,Sydjyllands Storkreds,M,20220920
Jakob Engel-Schmidt,Moderaterne,1367,,0.03921568627,0.002926115582,1,,26,1,1,,,28,28,7141307814983271430,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7141307814983271430&n=TIKTOK&tl0=profiles,0.02048280907,Nordsjællands Storkreds,,20220920
Ammar Ali,Moderaterne,1360,24,0.009216589862,2.10E-04,0,129,2,0,2,25,,2,35,7129591282527814662,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7129591282527814662&n=TIKTOK&tl0=profiles,0.001470588235,Københavns Omegns Storkreds,K,20220920
Klaus Bondam,Radikale Venstre,1305,77,0.01523809524,0.001455745342,0,103,8,0,2,10,8,8,9.5,7133565516417549318,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7133565516417549318&n=TIKTOK&tl0=profiles,0.006130268199,Københavns Storkreds,M,20220920
Mike Fonseca,Moderaterne,1224,133,0.05627705628,0.006069094304,3,3620,48,1,1,53,,52,6,6831487138884011014,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6831487138884011014&n=TIKTOK&tl0=profiles,0.04248366013,Københavns Omegns Storkreds,K,20220920
Marina Andersen,Moderaterne,1140,18,0.1357142857,0.002380952381,0,39,19,0,1,2,5,19,15,7135000472469636101,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135000472469636101&n=TIKTOK&tl0=profiles,0.01666666667,Københavns Storkreds,M,20220920
Helle Laursen Petersen,Konservative,1112,43,0.1137157566,0.007918636663,1,215,29,1,2,11,7,31,14,7136799396591076357,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7136799396591076357&n=TIKTOK&tl0=profiles,0.02787769784,Sjællands Storkreds,K,20220920
Regitze Harslund Sancoeur,Konservative,1044,62,0.018735363,0.00109469075,1,194,7,0,1,15,4,8,12,7082358225052943365,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7082358225052943365&n=TIKTOK&tl0=profiles,0.007662835249,Sjællands Storkreds,K,20220920
Anders Kronborg,Socialdemokratiet,1035,3,0.7619047619,0.004126355245,1,15,14,1,3,5,1,16,11.66666667,7113073966605321221,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7113073966605321221&n=TIKTOK&tl0=profiles,0.0154589372,Sydjyllands Storkreds,M,20220920
Carina Bloch Simonsen,Moderaterne,1000,,0.06968641115,0.008217346897,1,,18,1,3,,,20,22.66666667,7140351064251515909,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7140351064251515909&n=TIKTOK&tl0=profiles,0.02,Nordsjællands Storkreds,,20220920
Maria Katarina Nielsen,Radikale Venstre,995,25,0.08,0.002010050251,1,111,11,2,1,6,2,14,8,7129442061267190790,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7129442061267190790&n=TIKTOK&tl0=profiles,0.01407035176,Nordsjællands Storkreds,K,20220920
Henriette Ergemann,Nye Borgerlige,993,,0.4444444444,0.004028197382,0,,26,2,1,,,28,15,7146584343979951109,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7146584343979951109&n=TIKTOK&tl0=profiles,0.02819738167,Sjællands Storkreds,,20220920
Nilas Bay-Foged,Alternativet,922,,0.1008403361,0.001859312055,0,,11,1,1,,,12,10,7126288351304385541,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7126288351304385541&n=TIKTOK&tl0=profiles,0.01301518438,Sydjyllands Storkreds,,20220920
Rishigeshan Balachandran,Frie Grønne,789,129,0.02362204724,0.003802281369,1,2259,17,3,1,15,26,21,8,7100270896913105925,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7100270896913105925&n=TIKTOK&tl0=profiles,0.02661596958,Nordsjællands Storkreds,M,20220920
Ruben Kidde,Radikale Venstre,680,,1.142857143,0.001680672269,0,,8,0,1,,,8,14,7144996857130009606,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7144996857130009606&n=TIKTOK&tl0=profiles,0.01176470588,Københavns Storkreds,,20220920
Barbara Krarup Hansen,Socialdemokratiet,604,96,0.00147275405,4.42E-04,0,156,0,1,2,33,-1,1,12.5,179082956785778688,https://www.fanpagekarma.com/discovery?view=PROFILES&id=179082956785778688&n=TIKTOK&tl0=profiles,0.001655629139,Sydjyllands Storkreds,K,20220920
Lars Arne Christensen,Moderaterne,526,,0.08163265306,0.003259098316,0,,12,0,1,,,12,40,7142268488261043205,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7142268488261043205&n=TIKTOK&tl0=profiles,0.02281368821,Københavns Omegns Storkreds,,20220920
Anders Krøyer,Konservative,362,4,0.3214285714,0.003551696922,0,37,8,1,1,3,0,9,16,7137338468489839621,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7137338468489839621&n=TIKTOK&tl0=profiles,0.02486187845,Københavns Storkreds,M,20220920
Helle Wium,Alternativet,75,,1.17E-01,0.01714285714,0,,9,0,1,,,9,28,7145008986009928710,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7145008986009928710&n=TIKTOK&tl0=profiles,0.12,Østjyllands Storkreds,,20220920
Melina Andersen,SF,62,,0.07692307692,0.01612903226,0,,7,0,1,,,7,4,7146153955624846341,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7146153955624846341&n=TIKTOK&tl0=profiles,0.1129032258,Nordjyllands Storkreds,,20220920
Lucas Olsgaard,Moderaterne,5,215,6.80E-04,0.02857142857,0,8054,1,0,1,95,10,1,16,7077126865735910405,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7077126865735910405&n=TIKTOK&tl0=profiles,0.2,Københavns Omegns Storkreds,M,20220920
Elena Bjerregaard Ryan,Frie Grønne,0,16,0,0,0,0,0,0,0,0,,0,0,6808428255155799045,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6808428255155799045&n=TIKTOK&tl0=profiles,,Københavns Storkreds,K,20220920
Kathrine Olldag,Radikale Venstre,0,62,0,0,0,0,0,0,0,0,3,0,0,7096344788479296517,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7096344788479296517&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,K,20220920
Laura Guldager Thomasen,Dansk Folkeparti,0,47,0,0,0,0,0,0,0,0,3,0,0,100420468330983424,https://www.fanpagekarma.com/discovery?view=PROFILES&id=100420468330983424&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,K,20220920
HC Molbech,Alternativet,0,16,0,0,0,26,0,0,0,1,2,0,0,7044643220781155334,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7044643220781155334&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,M,20220920
Asham Agha Nadeem,Frie Grønne,0,3617,0,0,0,120900,0,0,0,15,6,0,0,6760638649496683525,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6760638649496683525&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,M,20220920
Troels Christian Jakobsen,Alternativet,0,,0,0,0,,0,0,0,,,0,0,7145032895836292102,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7145032895836292102&n=TIKTOK&tl0=profiles,,Københavns Storkreds,,20220920
Linea Søgaard-Lidell,Venstre ,0,197,0,0,0,1327,0,0,0,7,6,0,0,7091002616524489733,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7091002616524489733&n=TIKTOK&tl0=profiles,,Københavns Storkreds,K,20220920
Iben Kiilerich Krog,Venstre ,0,,0,0,0,,0,0,0,,,0,0,7141662184002634757,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7141662184002634757&n=TIKTOK&tl0=profiles,,Sjællands Storkreds,,20220920
Steen Holm Iversen,Konservative,0,20,0,0,0,11,0,0,0,2,1,0,0,7050510663681623045,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7050510663681623045&n=TIKTOK&tl0=profiles,,Sydjyllands Storkreds,M,20220920
Rasmus Jarlov,Konservative,0,,0,0,0,,0,0,0,,,0,0,7011096327014630406,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7011096327014630406&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,,20220920
Katrine Robsøe,Radikale Venstre,0,,0,0,0,,0,0,0,,,0,0,7135428813689095174,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135428813689095174&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,,20220920
Milo Jacobsen Gaarde,SF,0,25,0,0,0,0,0,0,0,0,0,0,0,6680414438334530566,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6680414438334530566&n=TIKTOK&tl0=profiles,,Sydjyllands Storkreds,M,20220920
Meritta Bjerregaard,SF,0,61,0,0,0,17,0,0,0,1,2,0,0,7089046635745788934,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7089046635745788934&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,K,20220920
Mathias Landeværn,Danmarksdemokraterne,0,21,0,0,0,143,0,0,0,4,0,0,0,6925517731580855302,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6925517731580855302&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,M,20220920
Andreas Steenberg,Radikale Venstre,0,,0,0,0,,0,0,0,,,0,0,7147784768871695366,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7147784768871695366&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,,20220920
Søren Pape,Konservative,0,,0,0,0,,0,0,0,,,0,0,7152897731283239941,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7152897731283239941&n=TIKTOK&tl0=profiles,,,,20220920
Venstre,Venstre ,0,123,0,0,0,26,0,0,0,0,13,0,0,7100851582459216902,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7100851582459216902&n=TIKTOK&tl0=profiles,,,,20220920
Sigurd Agersnap,SF,0,15,0,0,0,54,0,0,0,3,1,0,0,7128102618572227589,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7128102618572227589&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,M,20220920
Frederik Bloch Münster,Konservative,0,39,0,0,0,11,0,0,0,1,2,0,0,7118781727687263237,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7118781727687263237&n=TIKTOK&tl0=profiles,,Sydjyllands Storkreds,M,20220920
Steffen W. Frølund,Liberal Alliance,0,,0,0,0,,0,0,0,,,0,0,7144334913998423045,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7144334913998423045&n=TIKTOK&tl0=profiles,,,,20220920
Kim Lei Jensen,Radikale Venstre,0,38,0,0,0,16,0,0,0,2,1,0,0,6743174425275483142,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6743174425275483142&n=TIKTOK&tl0=profiles,,Fyns Storkreds,M,20220920
Denise Rostgaard,Nye Borgerlige,0,,0,0.00E+00,0,,0,0,0,,,0,0,7034147096198972421,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7034147096198972421&n=TIKTOK&tl0=profiles,,Københavns Storkreds,,20220920
Tobias Bennedsen,Konservative,0,76,0,0,0,133,0,0,0,2,3,0,0,7135542960062202886,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7135542960062202886&n=TIKTOK&tl0=profiles,,Fyns Storkreds,M,20220920
Mathilde Lissau,Radikale Venstre,0,,0,0,0,,0,0,0,,,0,0,7101543593068430341,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7101543593068430341&n=TIKTOK&tl0=profiles,,Bornholms Storkreds,,20220920
Louise Brown,Liberal Alliance,0,345,0.00E+00,0,0,4151,0,0,0,10,4,0,0,6821549324234966022,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6821549324234966022&n=TIKTOK&tl0=profiles,,Østjyllands Storkreds,K,20220920
Dina Mofidi,Moderaterne,0,171,0.00E+00,0,0,7928,0,0,0,9,17,0,0,6824618071623713798,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6824618071623713798&n=TIKTOK&tl0=profiles,,Nordjyllands Storkreds,,20220920
Halima El Abassi,Socialdemokratiet,0,69,0,0,0,33,0,0,0,2,5,0,0,7011630732523521029,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7011630732523521029&n=TIKTOK&tl0=profiles,,Københavns Storkreds,K,20220920
Jeppe Søe,Moderaterne,0,122,0,0,0,74,0,0,0,4,7,0,0,6645212034005745669,https://www.fanpagekarma.com/discovery?view=PROFILES&id=6645212034005745669&n=TIKTOK&tl0=profiles,,Vestjyllands Storkreds,M,20220920
Louise Siv Ebbesen,Liberal Alliance,0,62,0,0,0,519,0,0,0,3,3,0,0,7102866221432226822,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7102866221432226822&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,K,20220920
Kim Valentin,Venstre ,0,30,0,0,0,58,0,0,0,6,9,0,0,7133877440279577606,https://www.fanpagekarma.com/discovery?view=PROFILES&id=7133877440279577606&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,M,20220920
Fie Hækkerup,Socialdemokratiet,0,39,0,0,0,110,0,0,0,7,1,0,0,149003295540301824,https://www.fanpagekarma.com/discovery?view=PROFILES&id=149003295540301824&n=TIKTOK&tl0=profiles,,Københavns Omegns Storkreds,K,20220920
