Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Britt Bager;stembrittbager;https://www.facebook.com/460055244123143;1423;1159;158;70;0;0;0;0%;0;0;0;0;12;3;7;2;8;4;1195;6,59%;3;0;7197;9;0%;7179;6;0%;Konservative;https://www,facebook,com/460055244123143;Politiker;Kvinde;Side;MF'ere;;;20220415;202204;474;53;23;0;3;4;398;Blå blok
Egil F. Hulgaard - Politik;egilfh;https://www.facebook.com/566443056754736;190;148;33;2;0;0;0;0%;0;0;0;0;1;3;0;1;1;1;155;4,41%;8;0;523;2;0,38%;545;2;0%;Konservative;https://www,facebook,com/566443056754736;Politiker;Mand;Side;MF'ere;;;20220415;202204;24;4;0;0;0;0;19;Blå blok
Søren Pape Poulsen;SorenPapePoulsen;https://www.facebook.com/952334508116178;83306;58693;12704;3169;292025;7436;299461;98%;0;0;7;1;3296;242;2864;200;764;1374;67433;4,85%;21;1;81936;283;0,35%;86248;275;0%;Konservative;https://www,facebook,com/952334508116178;Politiker;Mand;Side;MF'ere;Partileder;;20220415;202204;3967;605;151;97342;36;157;3211;Blå blok
Katarina Ammitzbøll;KatarinaAmmitzboll;https://www.facebook.com/1541220236121470;1915;1279;432;44;3810;259;4069;94%;0;0;2;0;45;3;66;9;35;2;1439;4,07%;18;1;2623;31;1,20%;2927;44;2%;Konservative;https://www,facebook,com/1541220236121470;Politiker;Kvinde;Side;MF'ere;;;20220415;202204;106;24;2;1270;2;3;80;Blå blok
Pernille Weiss;pernilleweiss;https://www.facebook.com/2071183673144991;1605;1187;263;46;881;71;952;93%;0;0;2;0;42;5;4;5;10;43;1296;1,86%;15;1;5773;25;0,43%;6435;24;0%;Konservative;https://www,facebook,com/2071183673144991;Politiker;Kvinde;Side;MEP'ere;;;20220415;202204;107;18;3;441;1;3;86;Blå blok
Mona Juul;JuulMona;https://www.facebook.com/2079067062409423;1427;1140;141;54;0;0;0;0%;0;0;0;0;78;2;0;4;2;6;1232;4,75%;11;0;2721;10;0,37%;3046;10;0%;Konservative;https://www,facebook,com/2079067062409423;Politiker;Kvinde;Side;MF'ere;;;20220415;202204;130;13;5;0;0;7;112;Blå blok
Kristendemokraterne;kristendemokraterneDK;https://www.facebook.com/180658048629404;537;388;63;43;0;0;0;0%;0;0;0;0;27;1;1;3;0;11;431;0,77%;9;0;7614;-9;-0,12%;7865;-8;0%;Kristendemokraterne;https://www,facebook,com/180658048629404;Partiside;Partiside;Side;Nationalt parti;;;20220415;202204;60;7;5;0;0;3;48;Blå blok
Jens Rohde;jensrohdedk;https://www.facebook.com/596055947147527;2796;1688;159;32;0;0;0;0%;0;0;0;0;18;9;862;8;1;19;2605;1,25%;6;0;37307;-36;0%;38048;-34;0%;Kristendemokraterne;https://www,facebook,com/596055947147527;Politiker;Mand;Side;MF'ere;;;20220415;202204;466;27;5;0;0;3;434;Blå blok
Liberal Alliance;LiberalAlliance;https://www.facebook.com/106952222676974;39887;31808;4377;1864;198276;30646;228922;87%;0;0;9;1;518;121;762;97;300;40;33646;1,57%;26;1;97588;270;0,28%;98041;293;0%;Liberal Alliance;https://www,facebook,com/106952222676974;Partiside;Partiside;Side;Nationalt parti;;;20220415;202204;1534;168;72;24785;12;20;1294;Blå blok
Ole Birk Olesen;olebirkolesenLA;https://www.facebook.com/538656116640182;12828;9941;1211;459;72905;8416;81321;90%;4103;0;7;1;135;79;957;14;27;5;11158;5,52%;21;1;11080;65;0,59%;19631;52;0%;Liberal Alliance;https://www,facebook,com/538656116640182;Politiker;Mand;Side;MF'ere;;;20220415;202204;611;58;22;24302;1;6;531;Blå blok
Alex Vanopslagh;AlexLiberalAlliance;https://www.facebook.com/671022293105597;62485;48633;6178;3625;443065;48814;491879;90%;0;0;23;1;863;1039;1707;60;305;75;52682;5,06%;15;1;82658;684;0,83%;99120;727;1%;Liberal Alliance;https://www,facebook,com/671022293105597;Politiker;Mand;Side;MF'ere;Partileder;;20220415;202204;4166;412;242;55383;20;58;3512;Blå blok
Hans Kristian Skibby;hans.skibby;https://www.facebook.com/636371136504546;308;254;33;11;0;0;0;0%;130;0;0;0;2;3;2;0;3;0;264;0,62%;16;1;3092;11;0,36%;3172;8;0%;Løsgænger;https://www,facebook,com/636371136504546;Politiker;Mand;Side;MF'ere;;;20220415;202204;19;2;1;0;0;0;17;Andet
Lise Bech;Lise.Bech.MF;https://www.facebook.com/665462313475794;309;176;21;13;0;0;0;0%;0;0;0;0;10;0;78;2;5;4;275;1,40%;4;0;5500;0;0%;5556;-2;0%;Løsgænger;https://www,facebook,com/665462313475794;Politiker;Kvinde;Side;MF'ere;;;20220415;202204;77;5;3;0;1;3;69;Andet
Karina Adsbøl;karinaadsboldf;https://www.facebook.com/1546433252297862;719;356;223;34;0;0;0;0%;0;0;0;0;28;6;2;19;26;25;462;3,27%;5;0;4387;34;0,78%;4597;28;1%;Løsgænger;https://www,facebook,com/1546433252297862;Politiker;Kvinde;Side;MF'ere;;;20220415;202204;144;45;7;0;5;6;92;Andet
Naser Khader;NaserKhaderDanmark;https://www.facebook.com/1995019340791443;32488;20810;6448;1117;0;0;0;0%;0;0;0;0;708;425;1229;725;967;59;24923;6,07%;35;1;15281;7;0%;42084;-92;0%;Løsgænger;https://www,facebook,com/1995019340791443;Politiker;Mand;Side;MF'ere;;;20220415;202204;928;184;32;0;28;20;712;Andet
Simon Emil Ammitzbøll-Bille;SimonEmil;https://www.facebook.com/1489320827982521;413;298;72;5;0;0;0;0%;0;0;0;0;15;3;20;0;0;0;336;0,38%;5;0;21334;-35;-0,16%;21134;-29;0%;Løsgænger;https://www,facebook,com/1489320827982521;Politiker;Mand;Side;MF'ere;;;20220415;202204;83;14;1;0;0;3;67;Andet
