Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Rasmus Nordqvist;rasmus.nordqvist;https://www.facebook.com/323452711195305;2242;1622;197;97;1603;1194;2797;57%;0;0;0;0;314;3;7;0;2;0;1948;5,73%;7;0;5609;58;1%;5706;64;1%;Alternativet;https://www,facebook,com/323452711195305;Politiker;Mand;Side;MF'ere;;;20190615;201906;320;28;14;1603;0;45;278;Rød blok
Susanne Zimmer  MF;susanne.zimmer.politiker;https://www.facebook.com/332103627167661;955;664;171;29;3417;240;3657;93%;228;63;1;0;90;1;0;0;0;0;755;9,94%;22;1;483;101;26,44%;500;104;26,26%;Alternativet;https://www,facebook,com/332103627167661;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;43;8;1;1709;0;4;34;Rød blok
Torsten Gejl;torsten.gejl;https://www.facebook.com/461364607347621;7318;3911;1446;674;1565;7;1572;100,00%;510;510;0;0;925;29;10;129;194;0;5198;6,13%;18;1;6682;120;2%;6866;118;2%;Alternativet;https://www,facebook,com/461364607347621;Politiker;Mand;Side;MF'ere;;;20190615;201906;407;80;37;1565;11;51;289;Rød blok
Alternativet;alternativet.dk;https://www.facebook.com/676061179094769;21735;14191;2324;1831;238560;46108;284668;84%;0;0;25;1;2436;111;493;281;68;0;17580;1,20%;19;1;95958;1013;1,07%;94209;972;1,04%;Alternativet;https://www,facebook,com/676061179094769;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1144;122;96;59640;4;128;925;Rød blok
Pia Kjærsgaard;piakjaersgaardDF;https://www.facebook.com/33510214383;99694;55980;16004;16565;354572;181504;536076;66%;0;347;12;1;3436;277;893;1643;4896;0;67125;1,77%;41;1;137710;553;0%;131993;779;1%;Dansk Folkeparti;https://www,facebook,com/33510214383;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;2432;390;404;29548;119;84;1637;Blå blok
Morten Messerschmidt;MortenMesserschmidt;https://www.facebook.com/111394892261429;29663;17822;5473;2336;77673;34164;111837;69%;0;1379;6;1;1158;105;1011;464;1294;0;21854;1%;38;1;61085;97;0%;58252;198;0%;Dansk Folkeparti;https://www,facebook,com/111394892261429;Politiker;Mand;Side;MF'ere;;;20190615;201906;781;144;61;7767;34;30;575;Blå blok
Dennis Flydtkjær;DennisFlydtkjaer;https://www.facebook.com/114777238691209;3127;1580;644;330;0;0;0;0%;359;359;0;0;44;15;182;42;290;0;2153;5,60%;16;1;3513;57;2%;3435;58;2%;Dansk Folkeparti;https://www,facebook,com/114777238691209;Politiker;Mand;Side;MF'ere;;;20190615;201906;195;40;21;0;18;3;135;Blå blok
René Christensen - Dansk Folkeparti;ReneChristensenDF;https://www.facebook.com/183312979158588;2355;1311;484;308;2445;7993;10438;23,00%;140;1;2;0;60;11;7;57;117;0;1563;11,47%;22;1;1082;299;38,19%;1112;304;37,62%;Dansk Folkeparti;https://www,facebook,com/183312979158588;Politiker;Mand;Side;MF'ere;;;20190615;201906;107;22;14;611;5;3;71;Blå blok
Peter Kofod - Dansk Folkeparti;peterkofodEU;https://www.facebook.com/337897239700571;28137;15143;4518;2932;0;0;0;0%;0;0;0;0;833;109;570;555;3477;0;20687;4,01%;45;2;15672;185;1,19%;15813;201;1,29%;Dansk Folkeparti;https://www,facebook,com/337897239700571;Politiker;Mand;Side;MEP'ere;;;20190615;201906;625;100;65;0;77;19;460;Blå blok
Dansk Folkeparti;danskfolkeparti;https://www.facebook.com/520449347983427;126005;61248;32702;14583;162714;102631;265345;61%;17000;16999;14;0;2494;371;2047;1640;10920;0;78720;1,67%;73;3;103713;216;0,21%;103374;238;0%;Dansk Folkeparti;https://www,facebook,com/520449347983427;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1726;448;200;12516;150;34;1078;Blå blok
Kristian Thulesen Dahl;KristianThulesenDahlDF;https://www.facebook.com/531761723507375;71794;43107;14028;3957;91848;47930;139778;66%;16618;3438;23;1;2356;170;2850;1522;3804;0;53809;2,13%;47;2;71879;143;0,20%;72237;410;1%;Dansk Folkeparti;https://www,facebook,com/531761723507375;Politiker;Mand;Side;MF'ere;;;20190615;201906;1528;298;84;10205;81;50;1145;Blå blok
Hans Kristian Skibby;hans.skibby;https://www.facebook.com/636371136504546;1678;891;283;205;473;707;1180;40%;355;0;1;0;26;13;55;36;169;0;1190;1,90%;30;1;2889;3;0,10%;2886;5;0%;Dansk Folkeparti;https://www,facebook,com/636371136504546;Politiker;Mand;Side;MF'ere;;;20190615;201906;56;9;7;473;6;1;40;Blå blok
Lise Bech;Lise.Bech.MF;https://www.facebook.com/665462313475794;10766;6180;1423;1145;2734;454;3188;86%;0;55;4;0;311;58;269;272;1108;0;8198;5,35%;48;2;4236;95;2,29%;4206;100;2%;Dansk Folkeparti;https://www,facebook,com/665462313475794;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;224;30;24;547;23;6;171;Blå blok
Peter Skaarup;skaarupdf;https://www.facebook.com/691707047549076;59659;31765;11294;5562;38625;8767;47392;82%;10241;2175;4;0;968;337;1291;1733;6709;0;42803;1,31%;72;2;63392;11;0,02%;61551;20;0%;Dansk Folkeparti;https://www,facebook,com/691707047549076;Politiker;Mand;Side;MF'ere;;;20190615;201906;829;157;77;4828;93;13;594;Blå blok
Mette Hjermind Dencker;MetteHjermindDencker;https://www.facebook.com/1452632708336329;3582;2520;524;66;4437;2469;6906;64%;0;90;2;0;427;28;8;9;0;0;2992;5,68%;25;1;2529;23;0,92%;2525;27;1%;Dansk Folkeparti;https://www,facebook,com/1452632708336329;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;143;21;3;1109;0;17;120;Blå blok
Karina Adsbøl;karinaadsboldf;https://www.facebook.com/1546433252297862;1612;983;290;120;0;0;0;0%;0;0;0;0;103;3;18;35;60;0;1202;4,02%;11;0;3638;21;1%;3659;25;1%;Dansk Folkeparti;https://www,facebook,com/1546433252297862;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;147;26;11;0;5;9;109;Blå blok
Søren Søndergaard;SorenSondergaard.dk;https://www.facebook.com/47908701568;3522;2078;463;511;21867;6844;28711;76%;0;0;2;0;178;38;55;47;152;0;2548;1,47%;9;0;26609;23;0,09%;25315;37;0%;Enhedslisten;https://www,facebook,com/47908701568;Politiker;Mand;Side;MF'ere;;;20190615;201906;391;51;57;10934;17;20;283;Rød blok
Enhedslisten;enhedslisten;https://www.facebook.com/223040066022;63519;46523;5350;4123;193140;59885;253025;76%;15928;0;6;0;6379;128;541;113;362;0;54046;1,73%;41;1;90456;1571;1,77%;89006;1515;2%;Enhedslisten;https://www,facebook,com/223040066022;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1549;130;101;21460;9;156;1318;Rød blok
Henning Hyllested;henning.hyllested;https://www.facebook.com/100255467044528;4673;3493;439;234;0;0;0;0%;808;0;0;0;273;15;49;109;61;0;4000;7,59%;22;1;2926;263;10%;2961;227;8%;Enhedslisten;https://www,facebook,com/100255467044528;Politiker;Mand;Side;MF'ere;;;20190615;201906;212;20;11;0;3;12;182;Rød blok
Rosa Lund;RosaLund.dk;https://www.facebook.com/195621950482248;14783;10914;1419;401;9293;10694;19987;47%;0;0;1;0;1865;35;26;27;96;0;12963;6,62%;32;1;7138;344;5,06%;7030;353;5%;Enhedslisten;https://www,facebook,com/195621950482248;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;462;44;13;1859;3;58;405;Rød blok
Rasmus Vestergaard Madsen;Rasmusvestergaardmadsen;https://www.facebook.com/196270790402710;1878;1357;195;69;2534;1574;4108;62%;0;0;1;0;220;5;22;4;6;0;1614;6,50%;11;0;2677;124;4,86%;2668;88;3%;Enhedslisten;https://www,facebook,com/196270790402710;Politiker;Mand;Side;MF'ere;;;20190615;201906;171;18;6;1267;1;20;147;Rød blok
Eva Flyvholm;eva.flyvholm.enhedslisten;https://www.facebook.com/261448183993841;3745;2981;164;98;644;851;1495;43%;516;0;0;0;469;0;10;23;0;0;3483;4,25%;29;1;3099;121;4,06%;3091;115;4%;Enhedslisten;https://www,facebook,com/261448183993841;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;129;6;3;644;0;16;120;Rød blok
Mai Villadsen;Mai.Villadsen.Enhedslisten;https://www.facebook.com/285722315449568;5391;3930;383;193;4639;3212;7851;59%;0;0;3;0;769;26;33;8;49;0;4815;9,13%;17;1;3673;404;12,36%;3899;412;11,82%;Enhedslisten;https://www,facebook,com/285722315449568;Politiker;Kvinde;Side;MF'ere;Partileder;;20190615;201906;317;23;11;1546;3;45;283;Rød blok
Victoria Velásquez;VictoriaVelasquezEL;https://www.facebook.com/449144595224589;9636;6584;955;454;9625;10088;19713;49%;0;350;14;2;1504;24;9;64;42;0;8227;7,63%;49;2;2904;669;29,93%;2938;657;28,80%;Enhedslisten;https://www,facebook,com/449144595224589;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;197;19;9;802;1;31;168;Rød blok
Nikolaj Villumsen;nikolaj.villumsen;https://www.facebook.com/529124290474705;9000;7165;552;140;0;0;0;0%;2330;0;0;0;868;14;79;126;56;0;8308;3,12%;14;0;20719;271;1%;20812;273;1%;Enhedslisten;https://www,facebook,com/529124290474705;Politiker;Mand;Side;MEP'ere;;;20190615;201906;643;39;10;0;4;62;593;Rød blok
Pernille Skipper;pernille.skipper.5;https://www.facebook.com/547840621916967;105460;73774;12888;3461;80675;42184;122859;66%;11564;1887;2;0;11951;236;1908;678;563;1;89111;3,93%;44;2;62483;2923;5%;65273;3205;5%;Enhedslisten;https://www,facebook,com/547840621916967;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;2397;293;79;13446;13;272;2025;Rød blok
Rune Lund;runelund.dk;https://www.facebook.com/920392628013629;1976;1352;120;221;1237;823;2060;60%;226;0;1;0;240;3;25;5;10;0;1635;9,35%;14;0;1558;100;7%;1617;109;7%;Enhedslisten;https://www,facebook,com/920392628013629;Politiker;Mand;Side;MF'ere;;;20190615;201906;141;9;16;309;1;17;117;Rød blok
Søren Egge Rasmussen;;https://www.facebook.com/947582238609972;1749;1328;119;125;190;1293;1483;13%;118;0;1;0;125;1;7;15;29;0;1505;3,43%;25;1;2033;47;2,37%;2028;51;2,58%;Enhedslisten;https://www,facebook,com/947582238609972;Politiker;Mand;Side;MF'ere;;;20190615;201906;70;5;5;190;1;5;60;Rød blok
Christian Juhl;Chr.Juhl1;https://www.facebook.com/966292950121363;8323;4990;941;856;0;0;0;0%;544;0;0;0;307;78;462;189;500;0;6526;2,51%;65;2;5113;43;0,85%;5144;47;1%;Enhedslisten;https://www,facebook,com/966292950121363;Politiker;Mand;Side;MF'ere;;;20190615;201906;128;14;13;0;8;5;100;Rød blok
Det Konservative Folkeparti;Konservative;https://www.facebook.com/39233495912;20376;16432;1630;829;108989;9896;118885;92%;0;9219;3;0;1153;32;189;23;88;0;17917;2,20%;25;1;37495;804;2,19%;37022;823;2%;Konservative;https://www,facebook,com/39233495912;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;815;65;33;15570;4;46;717;Blå blok
Per Larsen;stemperlarsen;https://www.facebook.com/129802704387687;2930;2218;443;86;21099;3908;25007;84%;176;176;5;0;101;16;20;16;30;0;2401;8,14%;26;1;1402;52;4%;1427;62;5%;Konservative;https://www,facebook,com/129802704387687;Politiker;Mand;Side;MF'ere;;;20190615;201906;113;17;3;3014;1;4;92;Blå blok
Rasmus Jarlov;jarlov;https://www.facebook.com/162843287205735;4747;3849;487;70;25655;6294;31949;80,00%;0;0;4;0;293;12;21;6;9;0;4190;6,78%;8;0;8844;183;2%;8988;208;2,37%;Konservative;https://www,facebook,com/162843287205735;Politiker;Mand;Side;MF'ere;;;20190615;201906;593;61;9;8552;1;37;524;Blå blok
Niels Flemming Hansen;nielsflemminghansen;https://www.facebook.com/177609692660255;3610;2812;456;213;42735;11058;53793;79%;0;0;11;0;59;3;54;1;12;0;2941;11,92%;24;1;1332;147;12%;1348;134;11%;Konservative;https://www,facebook,com/177609692660255;Politiker;Mand;Side;MF'ere;;;20190615;201906;150;19;9;3561;1;2;123;Blå blok
Brigitte Klintskov Jerkel Politiker;BrigitteKlintskovJerkel;https://www.facebook.com/229347797233832;3798;3031;440;48;38865;2593;41458;94%;0;165;1;0;167;24;15;28;45;0;3310;2,81%;22;1;6172;102;2%;6095;106;2%;Konservative;https://www,facebook,com/229347797233832;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;173;20;2;12955;2;8;150;Blå blok
Mette Abildgaard;abildgaard.mette;https://www.facebook.com/309867232515766;13863;10773;1343;323;23760;4278;28038;85%;2548;0;4;0;873;29;460;15;47;0;12197;2,45%;38;1;14915;103;1%;14901;113;1%;Konservative;https://www,facebook,com/309867232515766;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;365;35;9;4752;1;23;321;Blå blok
Birgitte Bergman;BirgitteBergmanPolitiker;https://www.facebook.com/314962322593667;1456;1089;237;61;1282;2382;3664;35%;0;0;3;0;62;5;1;0;1;0;1158;13,18%;23;1;518;80;18%;539;88;20%;Konservative;https://www,facebook,com/314962322593667;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;63;10;3;321;0;3;50;Blå blok
Orla Østerby i Folketinget;OrlaOsterbyIFolketinget;https://www.facebook.com/380183085486892;445;365;51;21;0;0;0;0,00%;0;0;0;0;6;0;1;1;0;0;373;7,86%;6;0;955;27;2,91%;968;26;2,76%;Konservative;https://www,facebook,com/380183085486892;Politiker;Mand;Side;MF'ere;;;20190615;201906;74;9;4;0;0;1;62;Blå blok
Mai Mercado;maimercado.dk;https://www.facebook.com/397094903687472;6477;5068;888;73;46585;1304;47889;97%;0;0;3;0;329;13;29;63;14;0;5516;2,27%;16;1;17794;61;0%;17756;64;0%;Konservative;https://www,facebook,com/397094903687472;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;405;56;5;9317;1;21;345;Blå blok
Egil F. Hulgaard - Politik;egilfh;https://www.facebook.com/566443056754736;513;369;111;3;998;0;998;100,00%;0;0;1;0;12;3;15;0;0;0;399;8,79%;29;1;200;13;6,95%;195;13;7%;Konservative;https://www,facebook,com/566443056754736;Politiker;Mand;Side;MF'ere;;;20190615;201906;18;4;0;499;0;0;14;Blå blok
Søren Pape Poulsen;SorenPapePoulsen;https://www.facebook.com/952334508116178;34104;27690;3288;814;78714;21535;100249;79%;0;29265;2;0;1332;52;428;386;114;0;30002;3,31%;23;1;45534;1474;3,35%;44967;1506;3,47%;Konservative;https://www,facebook,com/952334508116178;Politiker;Mand;Side;MF'ere;Partileder;;20190615;201906;1483;143;35;15743;5;58;1304;Blå blok
Katarina Ammitzbøll;KatarinaAmmitzboll;https://www.facebook.com/1541220236121470;1743;1380;215;10;5514;357;5871;94%;688;0;0;0;122;8;5;1;2;0;1518;6,89%;21;1;1295;181;16,25%;1311;193;17,26%;Konservative;https://www,facebook,com/1541220236121470;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;83;10;0;1838;0;6;72;Blå blok
Naser Khader;NaserKhaderDanmark;https://www.facebook.com/1995019340791443;31562;21969;3852;592;9255;615;9870;94,00%;0;0;0;0;1838;241;1860;629;581;0;27118;16,73%;20;1;9573;281;3,02%;41904;110;0%;Konservative;https://www,facebook,com/1995019340791443;Politiker;Mand;Side;MF'ere;;;20190615;201906;1578;193;30;9255;29;92;1356;Blå blok
Pernille Weiss;pernilleweiss;https://www.facebook.com/2071183673144991;4977;4380;301;83;2505;391;2896;87%;0;0;0;0;179;25;6;0;3;0;4593;3,04%;36;1;4544;17;0,38%;4737;18;0%;Konservative;https://www,facebook,com/2071183673144991;Politiker;Kvinde;Side;MEP'ere;;;20190615;201906;138;8;2;1253;0;5;128;Blå blok
Mona Juul;JuulMona;https://www.facebook.com/2079067062409423;7188;5627;864;95;24820;947;25767;96%;0;573;0;0;539;15;45;1;2;0;6229;12,52%;39;1;1559;178;12,89%;1595;172;12%;Konservative;https://www,facebook,com/2079067062409423;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;184;22;2;3546;0;14;160;Blå blok
Kristendemokraterne;kristendemokraterneDK;https://www.facebook.com/180658048629404;7308;5364;642;826;0;0;0;0%;7990;0;0;0;312;42;7;56;59;0;5840;2,91%;39;1;6587;307;4,89%;6630;302;5%;Kristendemokraterne;https://www,facebook,com/180658048629404;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;187;16;21;0;2;8;150;Blå blok
Liberal Alliance;LiberalAlliance;https://www.facebook.com/106952222676974;34575;25639;4488;1664;397612;153773;551385;72%;37404;636;25;1;1697;44;718;180;145;0;28423;1,26%;29;1;94562;149;0,16%;92494;273;0%;Liberal Alliance;https://www,facebook,com/106952222676974;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;1192;155;57;23389;5;59;980;Blå blok
Ole Birk Olesen;olebirkolesenLA;https://www.facebook.com/538656116640182;14653;10544;1567;296;0;0;0;0%;7519;0;0;0;543;69;1307;290;37;0;12790;9,92%;27;1;5548;169;3%;14491;77;1%;Liberal Alliance;https://www,facebook,com/538656116640182;Politiker;Mand;Side;MF'ere;;;20190615;201906;543;58;11;0;1;20;474;Blå blok
Alex Vanopslagh;AlexLiberalAlliance;https://www.facebook.com/671022293105597;15864;12610;1443;208;152302;14314;166616;91%;12443;0;5;0;811;18;748;9;17;0;14213;7,66%;18;1;14267;5542;64%;15179;6168;68%;Liberal Alliance;https://www,facebook,com/671022293105597;Politiker;Mand;Side;MF'ere;Partileder;;20190615;201906;881;80;12;30460;1;45;790;Blå blok
Simon Emil Ammitzbøll-Bille;SimonEmil;https://www.facebook.com/1489320827982521;1758;1364;200;10;0;0;0;0%;0;0;0;0;133;2;10;35;4;0;1548;3,62%;2;0;24350;107;0,44%;24082;150;1%;Liberal Alliance;https://www,facebook,com/1489320827982521;Politiker;Mand;Side;MF'ere;;;20190615;201906;879;100;5;0;2;67;774;Blå blok
Lars Boje Mathiesen;LBMathiesen;https://www.facebook.com/398454550257699;12950;8422;1701;874;22091;3020;25111;88%;0;0;9;1;429;101;204;208;1011;0;10375;4,68%;41;1;6854;234;3,53%;7074;286;4%;Nye Borgerlige;https://www,facebook,com/398454550257699;Politiker;Mand;Side;MF'ere;;;20190615;201906;316;41;21;4418;25;10;253;Blå blok
Nye Borgerlige;nyeborgerlige;https://www.facebook.com/646746285466931;57492;41393;7176;4094;158402;29507;187909;84%;0;0;5;1;3110;123;341;356;899;0;46222;8,87%;22;1;30348;1758;6,15%;31523;1777;6%;Nye Borgerlige;https://www,facebook,com/646746285466931;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;2613;326;186;39601;41;141;2101;Blå blok
Mette Thiesen;mette.thiesen;https://www.facebook.com/718327901589937;28951;22392;2922;563;0;0;0;0%;0;0;0;0;2350;88;25;377;234;0;25466;6,81%;21;1;20461;429;2,14%;21769;536;3%;Nye Borgerlige;https://www,facebook,com/718327901589937;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;1379;139;27;0;11;112;1213;Blå blok
Peter Seier Christensen;peterseierchristensen;https://www.facebook.com/1104790642968068;6409;4013;963;555;13213;2295;15508;85%;0;0;1;0;112;119;46;127;474;0;4891;2,54%;11;0;23036;278;1,22%;23316;287;1%;Nye Borgerlige;https://www,facebook,com/1104790642968068;Politiker;Mand;Side;MF'ere;;;20190615;201906;583;88;50;13213;43;10;445;Blå blok
Radikale Venstre;radikalevenstre;https://www.facebook.com/12458150929;21172;12579;4183;715;273183;85871;359054;76%;0;31519;33;4;2804;22;269;139;461;0;16274;0,96%;48;2;47026;2529;5,68%;47257;2633;6%;Radikale Venstre;https://www,facebook,com/12458150929;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;441;87;15;6353;10;58;339;Rød blok
Ida Auken;ida.auken;https://www.facebook.com/24352982198;18443;12358;2103;574;183132;41952;225084;81%;0;815;9;0;1626;23;1610;16;133;0;15766;2,68%;19;1;36551;846;2,37%;36496;870;2%;Radikale Venstre;https://www,facebook,com/24352982198;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;971;111;30;20348;7;86;830;Rød blok
Ruben Kidde;stem.ruben.kidde;https://www.facebook.com/113588132144811;1511;1203;132;36;2069;1125;3194;65%;0;0;16;1;119;3;7;9;2;0;1343;3,97%;18;1;2196;207;10,41%;2224;207;10%;Radikale Venstre;https://www,facebook,com/113588132144811;Politiker;Mand;Side;MF'ere;;;20190615;201906;84;7;2;517;0;7;75;Rød blok
Zenia Stampe;zeniastampe;https://www.facebook.com/127344360615074;91555;58904;12203;4191;57204;22089;79293;72%;0;0;1;0;8288;221;3132;985;3631;0;75161;4,22%;21;1;103901;984;0,96%;102987;942;1%;Radikale Venstre;https://www,facebook,com/127344360615074;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;4360;581;200;19068;173;395;3579;Rød blok
Andreas Steenberg;andreas.steenberg.radikale;https://www.facebook.com/132364993978468;11737;7245;1712;924;30512;3750;34262;89%;2030;0;2;0;1026;63;62;265;440;0;9101;5,51%;19;1;11425;459;4,19%;11707;426;4%;Radikale Venstre;https://www,facebook,com/132364993978468;Politiker;Mand;Side;MF'ere;;;20190615;201906;618;90;49;7628;23;54;479;Rød blok
Sofie Carsten Nielsen;sofiecarstennielsen;https://www.facebook.com/148900938515423;17372;12045;2627;478;59842;10565;70407;85%;2340;1245;6;0;1307;30;184;311;390;0;14267;2,24%;38;1;21088;1308;7%;21314;1349;7%;Radikale Venstre;https://www,facebook,com/148900938515423;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;457;69;13;4987;10;34;375;Rød blok
Anne Sophie Callesen;annesophiecallesen;https://www.facebook.com/190273501371925;1839;1379;219;21;538;587;1125;48%;320;0;0;0;212;4;1;3;0;0;1599;9,18%;24;1;867;79;10,03%;875;76;10%;Radikale Venstre;https://www,facebook,com/190273501371925;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;77;9;1;269;0;9;67;Rød blok
Marianne Jelved;jelved;https://www.facebook.com/237911156252621;1390;1151;96;23;565;336;901;63%;637;0;0;0;118;0;2;0;0;0;1271;1,46%;9;0;10600;143;1,37%;10695;162;2%;Radikale Venstre;https://www,facebook,com/237911156252621;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;154;11;3;565;0;13;141;Rød blok
Morten Østergaard;oestergaard;https://www.facebook.com/252520351444054;209700;138031;32306;4670;733039;115335;848374;86%;19015;72997;57;3;24097;457;4132;1348;4659;0;172724;3,91%;89;3;63214;5793;10,09%;68527;6568;11%;Radikale Venstre;https://www,facebook,com/252520351444054;Politiker;Mand;Side;MF'ere;;;20190615;201906;2356;363;52;18326;52;271;1941;Rød blok
Lotte Rod;lotterod;https://www.facebook.com/276817062372351;5255;4323;389;63;4344;929;5273;82%;0;0;1;0;432;9;36;2;1;0;4803;3,47%;26;1;5862;76;1,31%;5838;79;1%;Radikale Venstre;https://www,facebook,com/276817062372351;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;202;15;2;2172;0;17;185;Rød blok
Kristian Hegaard;KHegaard;https://www.facebook.com/309352049198824;12801;10107;983;76;39581;2131;41712;95%;0;0;0;0;1463;42;128;1;1;0;11742;6,90%;21;1;8970;290;3,34%;8764;301;4%;Radikale Venstre;https://www,facebook,com/309352049198824;Politiker;Mand;Side;MF'ere;;;20190615;201906;610;47;4;19791;0;70;559;Rød blok
Samira Nawa;SAMIRA.NAWA;https://www.facebook.com/348713338478849;20757;15275;2145;405;9225;3004;12229;75%;0;0;3;0;2428;68;235;102;99;0;18207;7,81%;23;1;12401;1699;15,88%;12374;1704;16%;Radikale Venstre;https://www,facebook,com/348713338478849;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;902;93;18;4613;4;106;792;Rød blok
Morten Helveg Petersen;morten.h.petersen.75;https://www.facebook.com/442403485851495;5765;3940;880;201;0;0;0;0%;7906;0;0;0;232;46;370;12;84;0;4684;3,13%;18;1;10291;151;1,49%;10527;175;2%;Radikale Venstre;https://www,facebook,com/442403485851495;Politiker;Mand;Side;MEP'ere;;;20190615;201906;320;49;11;0;5;13;260;Rød blok
Martin Lidegaard;martin.lidegaard;https://www.facebook.com/447217575331947;7876;6198;983;180;68543;2152;70695;97%;0;742;14;0;273;13;133;68;28;0;6713;0,93%;31;1;27520;159;0,58%;28000;216;1%;Radikale Venstre;https://www,facebook,com/447217575331947;Politiker;Mand;Side;MF'ere;;;20190615;201906;254;32;6;5712;1;9;217;Rød blok
Stinus Lindgreen - Radikale Venstre;StinusLindgreenRV;https://www.facebook.com/519677024898789;4082;3348;346;96;2345;1617;3962;59%;0;0;33;5;243;5;1;42;1;0;3640;5,76%;36;1;2021;118;6,20%;2156;115;6%;Radikale Venstre;https://www,facebook,com/519677024898789;Politiker;Mand;Side;MF'ere;;;20190615;201906;113;10;3;335;0;7;101;Rød blok
Jens Rohde;jensrohdedk;https://www.facebook.com/596055947147527;42510;26378;8637;1192;20921;2359;23280;90%;6042;0;7;1;1968;304;3078;326;627;0;32681;3,16%;36;1;37534;475;1,28%;37789;527;1%;Radikale Venstre;https://www,facebook,com/596055947147527;Politiker;Mand;Side;MF'ere;;;20190615;201906;1181;240;33;10461;17;55;908;Rød blok
Kathrine Olldag;RVolldag;https://www.facebook.com/810476755802044;2464;1830;296;84;5351;2935;8286;65%;861;0;1;0;194;5;34;0;21;0;2084;10,38%;31;1;815;108;15,28%;835;108;15%;Radikale Venstre;https://www,facebook,com/810476755802044;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;79;10;3;1338;1;6;67;Rød blok
Rasmus Helveg Petersen;rasmus.helveg.petersen;https://www.facebook.com/1377441749244487;1916;1430;319;49;3153;665;3818;83%;953;0;0;0;80;1;26;0;11;0;1548;4,45%;12;0;3607;72;2,04%;3673;68;2%;Radikale Venstre;https://www,facebook,com/1377441749244487;Politiker;Mand;Side;MF'ere;;;20190615;201906;160;27;4;3153;1;7;129;Rød blok
Karen Melchior;KarenMelchiorDK;https://www.facebook.com/1384921248388622;5463;4502;361;72;2190;53;2243;98%;1914;0;1;0;484;5;27;10;2;0;5030;3,16%;38;1;4566;70;1,56%;4560;80;2%;Radikale Venstre;https://www,facebook,com/1384921248388622;Politiker;Kvinde;Side;MEP'ere;;;20190615;201906;144;10;2;1095;0;13;132;Rød blok
Katrine Robsøe;katrinerobsoe;https://www.facebook.com/1791759817712146;3248;2475;259;26;34045;2771;36816;92%;0;0;3;0;480;5;0;1;2;0;2963;10,59%;16;1;2116;397;23,09%;2137;375;21%;Radikale Venstre;https://www,facebook,com/1791759817712146;Politiker;Kvinde;Side;MF'ere;;;20190615;201906;203;16;2;6809;0;30;185;Rød blok
Socialdemokratiet;socialdemokratiet;https://www.facebook.com/41459763029;92134;67393;9564;5450;989252;204967;1194219;83%;0;3781;30;0;6257;165;1820;422;1063;0;77120;2,36%;36;1;109514;2546;2,38%;107360;2688;3%;Socialdemokratiet;https://www,facebook,com/41459763029;Partiside;Partiside;Side;Nationalt parti;;;20190615;201906;2559;266;151;44966;30;174;2142;Rød blok
