Page ID,Page Name,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder
,Liselott Blixt,Løsgænger,https://www.facebook.com/liselott.blixt,Politiker,Kvinde,Profil,MF'ere,
114451443761200,Marie Krarup,Løsgænger,https://www.facebook.com/114451443761200,Politiker,Kvinde,Side,MF'ere,
1995019340791443,Naser Khader,Løsgænger,https://www.facebook.com/1995019340791443,Politiker,Mand,Side,MF'ere,
380183085486892,Orla Østerby i Folketinget,Løsgænger,https://www.facebook.com/380183085486892,Politiker,Mand,Side,MF'ere,
1489320827982521,Simon Emil Ammitzbøll-Bille,Løsgænger,https://www.facebook.com/1489320827982521,Politiker,Mand,Side,MF'ere,
58140803787,Lars Løkke Rasmussen,Moderaterne,https://www.facebook.com/58140803787,Politiker,Mand,Side,MF'ere,Partileder
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,https://www.facebook.com/398454550257699,Politiker,Mand,Side,MF'ere,
718327901589937,Mette Thiesen,Nye Borgerlige,https://www.facebook.com/718327901589937,Politiker,Kvinde,Side,MF'ere,
113158773469624,Pernille Vermund,Nye Borgerlige,https://www.facebook.com/113158773469624,Politiker,Kvinde,Side,MF'ere,Partileder
1104790642968068,Peter Seier Christensen,Nye Borgerlige,https://www.facebook.com/1104790642968068,Politiker,Mand,Side,MF'ere,
132364993978468,Andreas Steenberg,Radikale Venstre,https://www.facebook.com/132364993978468,Politiker,Mand,Side,MF'ere,
190273501371925,Anne Sophie Callesen,Radikale Venstre,https://www.facebook.com/190273501371925,Politiker,Kvinde,Side,MF'ere,
171415843027399,Christina Thorholm,Radikale Venstre,https://www.facebook.com/171415843027399,Politiker,Kvinde,Side,MF'ere,
810476755802044,Kathrine Olldag,Radikale Venstre,https://www.facebook.com/810476755802044,Politiker,Kvinde,Side,MF'ere,
1791759817712146,Katrine Robsøe,Radikale Venstre,https://www.facebook.com/1791759817712146,Politiker,Kvinde,Side,MF'ere,
276817062372351,Lotte Rod,Radikale Venstre,https://www.facebook.com/276817062372351,Politiker,Kvinde,Side,MF'ere,
237911156252621,Marianne Jelved,Radikale Venstre,https://www.facebook.com/237911156252621,Politiker,Kvinde,Side,MF'ere,
447217575331947,Martin Lidegaard,Radikale Venstre,https://www.facebook.com/447217575331947,Politiker,Mand,Side,MF'ere,
252520351444054,Morten Østergaard,Radikale Venstre,https://www.facebook.com/252520351444054,Politiker,Mand,Side,MF'ere,
1377441749244487,Rasmus Helveg Petersen,Radikale Venstre,https://www.facebook.com/1377441749244487,Politiker,Mand,Side,MF'ere,
113588132144811,Ruben Kidde,Radikale Venstre,https://www.facebook.com/113588132144811,Politiker,Mand,Side,MF'ere,
348713338478849,Samira Nawa,Radikale Venstre,https://www.facebook.com/348713338478849,Politiker,Kvinde,Side,MF'ere,
148900938515423,Sofie Carsten Nielsen,Radikale Venstre,https://www.facebook.com/148900938515423,Politiker,Kvinde,Side,MF'ere,Partileder
519677024898789,Stinus Lindgreen - Radikale Venstre,Radikale Venstre,https://www.facebook.com/519677024898789,Politiker,Mand,Side,MF'ere,
450964118689253,"Susan Kronborg, Radikale Venstre",Radikale Venstre,https://www.facebook.com/450964118689253,Politiker,Kvinde,Side,MF'ere,
127344360615074,Zenia Stampe,Radikale Venstre,https://www.facebook.com/127344360615074,Politiker,Kvinde,Side,MF'ere,
24352982198,Ida Auken,Socialdemokratiet,https://www.facebook.com/24352982198,Politiker,Kvinde,Side,MF'ere,
1396986243876509,Anders Kronborg,Socialdemokratiet,https://www.facebook.com/1396986243876509,Politiker,Mand,Side,MF'ere,
169938849689771,Ane Halsboe-Jørgensen,Socialdemokratiet,https://www.facebook.com/169938849689771,Politiker,Kvinde,Side,MF'ere,
1418511451758028,Anne Paulin,Socialdemokratiet,https://www.facebook.com/1418511451758028,Politiker,Kvinde,Side,MF'ere,
879906758810052,Annette Lind,Socialdemokratiet,https://www.facebook.com/879906758810052,Politiker,Kvinde,Side,MF'ere,
256203941229187,Astrid Krag,Socialdemokratiet,https://www.facebook.com/256203941229187,Politiker,Kvinde,Side,MF'ere,
270431402967189,Benny Engelbrecht,Socialdemokratiet,https://www.facebook.com/270431402967189,Politiker,Mand,Side,MF'ere,
346547929246195,Birgitte Vind,Socialdemokratiet,https://www.facebook.com/346547929246195,Politiker,Kvinde,Side,MF'ere,
127941830595839,Bjarne Laustsen,Socialdemokratiet,https://www.facebook.com/127941830595839,Politiker,Mand,Side,MF'ere,
253692938327792,Bjørn Brandenborg,Socialdemokratiet,https://www.facebook.com/253692938327792,Politiker,Mand,Side,MF'ere,
315126268991751,Camilla Fabricius,Socialdemokratiet,https://www.facebook.com/315126268991751,Politiker,Kvinde,Side,MF'ere,
1396459723941912,Christian Rabjerg Madsen,Socialdemokratiet,https://www.facebook.com/1396459723941912,Politiker,Mand,Side,MF'ere,
46151445835,Dan Jørgensen,Socialdemokratiet,https://www.facebook.com/46151445835,Politiker,Mand,Side,MF'ere,
1533981276841327,Daniel Toft Jakobsen,Socialdemokratiet,https://www.facebook.com/1533981276841327,Politiker,Mand,Side,MF'ere,
-821993651187919,Flemming Møller Mortensen,Socialdemokratiet,https://www.facebook.com/flemmingmoellermortensen,Politiker,Mand,Profil,MF'ere,
291780644793452,Folketingskandidat Henrik Møller,Socialdemokratiet,https://www.facebook.com/291780644793452,Politiker,Mand,Side,MF'ere,
216424988426628,Henrik Dam Kristensen,Socialdemokratiet,https://www.facebook.com/216424988426628,Politiker,Mand,Side,MF'ere,
530069377053107,Henrik Sass Larsen,Socialdemokratiet,https://www.facebook.com/530069377053107,Politiker,Mand,Side,MF'ere,
274355482686293,Jan Johansen,Socialdemokratiet,https://www.facebook.com/274355482686293,Politiker,Mand,Side,MF'ere,
143882519070566,Jens Joel,Socialdemokratiet,https://www.facebook.com/143882519070566,Politiker,Mand,Side,MF'ere,
340189926157676,Jeppe Bruus,Socialdemokratiet,https://www.facebook.com/340189926157676,Politiker,Mand,Side,MF'ere,
137685999659722,Jeppe Kofod,Socialdemokratiet,https://www.facebook.com/137685999659722,Politiker,Mand,Side,MF'ere,
287814831337164,Jesper Petersen,Socialdemokratiet,https://www.facebook.com/287814831337164,Politiker,Mand,Side,MF'ere,
2134077580000490,Julie Skovsby,Socialdemokratiet,https://www.facebook.com/2134077580000490,Politiker,Kvinde,Side,MF'ere,
117286478282546,Kaare Dybvad Bek,Socialdemokratiet,https://www.facebook.com/117286478282546,Politiker,Mand,Side,MF'ere,
1461584187395053,Kasper Roug,Socialdemokratiet,https://www.facebook.com/1461584187395053,Politiker,Mand,Side,MF'ere,
223099558291164,Kasper Sand Kjær,Socialdemokratiet,https://www.facebook.com/223099558291164,Politiker,Mand,Side,MF'ere,
1826032357445650,Lars Aslan Rasmussen,Socialdemokratiet,https://www.facebook.com/1826032357445650,Politiker,Mand,Side,MF'ere,
1563091823994393,Lea Wermelin,Socialdemokratiet,https://www.facebook.com/1563091823994393,Politiker,Kvinde,Side,MF'ere,
343938391806,Leif Lahn Jensen,Socialdemokratiet,https://www.facebook.com/343938391806,Politiker,Mand,Side,MF'ere,
1360845367283397,Lennart Damsbo-Andersen,Socialdemokratiet,https://www.facebook.com/1360845367283397,Politiker,Mand,Side,MF'ere,
354144841359670,Magnus Heunicke,Socialdemokratiet,https://www.facebook.com/354144841359670,Politiker,Mand,Side,MF'ere,
737317713017734,Malte Larsen,Socialdemokratiet,https://www.facebook.com/737317713017734,Politiker,Mand,Side,MF'ere,
633265460396003,Maria Gudme,Socialdemokratiet,https://www.facebook.com/633265460396003,Politiker,Kvinde,Side,MF'ere,
591707450918919,Mattias Tesfaye,Socialdemokratiet,https://www.facebook.com/591707450918919,Politiker,Mand,Side,MF'ere,
57497067718,Mette Frederiksen,Socialdemokratiet,https://www.facebook.com/57497067718,Politiker,Kvinde,Side,MF'ere,Partileder
130494840642224,Mette Gjerskov - Socialdemokratiet,Socialdemokratiet,https://www.facebook.com/130494840642224,Politiker,Kvinde,Side,MF'ere,
229737453706271,Mogens Jensen,Socialdemokratiet,https://www.facebook.com/229737453706271,Politiker,Mand,Side,MF'ere,
131559313586863,Morten Bødskov,Socialdemokratiet,https://www.facebook.com/131559313586863,Politiker,Mand,Side,MF'ere,
118490798169181,Nick Hækkerup,Socialdemokratiet,https://www.facebook.com/118490798169181,Politiker,Mand,Side,MF'ere,
1458354184437993,Nicolai Wammen,Socialdemokratiet,https://www.facebook.com/1458354184437993,Politiker,Mand,Side,MF'ere,
694190270610140,Orla Hav,Socialdemokratiet,https://www.facebook.com/694190270610140,Politiker,Mand,Side,MF'ere,
88419746037,Pernille Rosenkrantz-Theil,Socialdemokratiet,https://www.facebook.com/88419746037,Politiker,Kvinde,Side,MF'ere,
526620377500921,Peter Hummelgaard,Socialdemokratiet,https://www.facebook.com/526620377500921,Politiker,Mand,Side,MF'ere,
1085388398186784,Rasmus Horn Langhoff,Socialdemokratiet,https://www.facebook.com/1085388398186784,Politiker,Mand,Side,MF'ere,
325793724279369,Rasmus Prehn,Socialdemokratiet,https://www.facebook.com/325793724279369,Politiker,Mand,Side,MF'ere,
1675976205990131,Rasmus Stoklund,Socialdemokratiet,https://www.facebook.com/1675976205990131,Politiker,Mand,Side,MF'ere,
142316415896803,Simon Kollerup,Socialdemokratiet,https://www.facebook.com/142316415896803,Politiker,Mand,Side,MF'ere,
1692293757749735,Tanja Larsson - Socialdemokratiet,Socialdemokratiet,https://www.facebook.com/1692293757749735,Politiker,Kvinde,Side,MF'ere,
190264547756813,Thomas Jensen,Socialdemokratiet,https://www.facebook.com/190264547756813,Politiker,Mand,Side,MF'ere,
515338715236513,Trine Bramsen,Socialdemokratiet,https://www.facebook.com/515338715236513,Politiker,Kvinde,Side,MF'ere,
526616710705073,Troels Ravn,Socialdemokratiet,https://www.facebook.com/526616710705073,Politiker,Mand,Side,MF'ere,
1701135240186838,Anne Valentina Berthelsen,Socialistisk Folkeparti,https://www.facebook.com/1701135240186838,Politiker,Kvinde,Side,MF'ere,
207867859816558,Astrid Carøe,Socialistisk Folkeparti,https://www.facebook.com/207867859816558,Politiker,Kvinde,Side,MF'ere,
323782467803321,Carl Valentin,Socialistisk Folkeparti,https://www.facebook.com/323782467803321,Politiker,Mand,Side,MF'ere,
2079502855459920,Charlotte Broman Mølbæk,Socialistisk Folkeparti,https://www.facebook.com/2079502855459920,Politiker,Kvinde,Side,MF'ere,
1871802986266834,Halime Oguz,Socialistisk Folkeparti,https://www.facebook.com/1871802986266834,Politiker,Kvinde,Side,MF'ere,
211409879739775,Ina Strøjer-Schmidt - SF’s Folketingsmedlem i Københavns omegnskommuner,Socialistisk Folkeparti,https://www.facebook.com/211409879739775,Politiker,Kvinde,Side,MF'ere,
69985338410,Jacob Mark,Socialistisk Folkeparti,https://www.facebook.com/69985338410,Politiker,Mand,Side,MF'ere,
116061635098137,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti,https://www.facebook.com/116061635098137,Politiker,Kvinde,Side,MF'ere,
1246666085407861,Karsten Hønge,Socialistisk Folkeparti,https://www.facebook.com/1246666085407861,Politiker,Mand,Side,MF'ere,
1282577791766364,Kirsten Normann Andersen,Socialistisk Folkeparti,https://www.facebook.com/1282577791766364,Politiker,Kvinde,Side,MF'ere,
1559060601030590,Lisbeth Bech Poulsen,Socialistisk Folkeparti,https://www.facebook.com/1559060601030590,Politiker,Kvinde,Side,MF'ere,
49348971479,Pia Olsen Dyhr,Socialistisk Folkeparti,https://www.facebook.com/49348971479,Politiker,Kvinde,Side,MF'ere,Partileder
323452711195305,Rasmus Nordqvist,Socialistisk Folkeparti,https://www.facebook.com/323452711195305,Politiker,Mand,Side,MF'ere,
350242375125258,Signe Munk,Socialistisk Folkeparti,https://www.facebook.com/350242375125258,Politiker,Kvinde,Side,MF'ere,
100553324882964,Theresa Berg Andersen,Socialistisk Folkeparti,https://www.facebook.com/100553324882964,Politiker,Kvinde,Side,MF'ere,
673183069445618,Trine Torp,Socialistisk Folkeparti,https://www.facebook.com/673183069445618,Politiker,Kvinde,Side,MF'ere,
