Storkreds,Parti,Navn,Køn,Profile,Profile-ID
Sydjyllands Storkreds,Konservative,Birgitte Klippert,K,Birgitte Klippert,7047171652258661381
Sjællands Storkreds,Konservative,Brigitte Klintskov Jerkel,K,brigitteklintskovjerkel,7061630983610893318
Sjællands Storkreds,Konservative,Camillo Krog,K,Camillo Krog,7074931412352910342
Københavns Storkreds,Konservative,Casper Øhlers,M,Casper Øhlers,7065627173391107077
Vestjyllands Storkreds,Konservative,Dina Myrup Raabjerg,K,"Politiker Dina Raabjerg, C",7020110197134066693
Nordsjællands Storkreds,Konservative,Emma Juul Hansen,K,Emma Juul Hansen,7097271673482003462
Sydjyllands Storkreds,Konservative,Frederik Bloch Münster,M,Frederik Bloch Münster,7118781727687263237
Sjællands Storkreds,Konservative,Helle Laursen Petersen,K,Helle Laursen Petersen,7136799396591076357
Bornholms Storkreds,Konservative,Henriette Søvind,K,HenrietteSoevind,7117678255969633285
Københavns Omegns Storkreds,Konservative,Magnus Von Dreiager,M,Magnus Von Dreiager,7088528065630798853
Nordjyllands Storkreds,Konservative,Mia Tang,K,MiaTang.dk,7076148782341522437
Københavns Storkreds,Konservative,Nicola Emily Larsen,K,nicolaemilylarsen_,7082979087409759237
Sjællands Storkreds,Konservative,Regitze Harslund Sancoeur,K,Regitze Sancoeur,7082358225052943365
Vestjyllands Storkreds,Konservative,Siff Tang Lassen,K,Siff Tang Lassen,6926222618236716037
Sydjyllands Storkreds,Konservative,Steen Holm Iversen,M,SteenHIversen,7050510663681623045
Fyns Storkreds,Konservative,Tobias Bennedsen,M,tobiasbennedsen_C,7135542960062202886
,Konservative,Konservativ Ungdom,,Konservativ Ungdom,6782560090551288837
,Konservative,Søren Pape,,Søren Pape,7152897731283239941
Sjællands Storkreds,Kristendemokraterne,FINN ANDERSEN,M,Finn Andersen,7066461378228126726
Østjyllands Storkreds,Liberal Alliance,Alex Vanopslagh,M,Alex Vanopslagh,6822169475418326022
Sydjyllands Storkreds,Liberal Alliance,Carl Andersen,M,Carl Andersen,6813760170583458822
Sydjyllands Storkreds,Liberal Alliance,Carsten Andersen,M,CarstenAndersenLA,6959278781518906373
Sydjyllands Storkreds,Liberal Alliance,Helene Artmann Andresen,K,Helena Artmann LA,156640265103921152
Østjyllands Storkreds,Liberal Alliance,Jens Meilvang,M,Jens Meilvang,6995251258723156998
Fyns Storkreds,Liberal Alliance,Katrine Daugaard,K,KatrinedaugaardLA,7110950124852249605
Nordsjællands Storkreds,Liberal Alliance,Lars Høyer Holmqvist,M,Lars Høyer Holmqvist,145986779408523264
Østjyllands Storkreds,Liberal Alliance,Louise Brown,K,Louise Brown,6821549324234966022
Københavns Omegns Storkreds,Liberal Alliance,Louise Siv Ebbesen,K,Louise Siv Ebbesen - LA,7102866221432226822
Sjællands Storkreds,Liberal Alliance,Nicolai Sandager,M,Nicolai Sandager,7042409534522590213
Københavns Storkreds,Liberal Alliance,Ole Birk Olesen,M,olebirkolesen,7034196579150300166
Sjællands Storkreds,Liberal Alliance,Sandra Elisabeth Skalvig,K,Sandra Elisabeth Skalvig,7101993106031182853
Nordjyllands Storkreds,Liberal Alliance,Sólbjørg Jakobsen,K,Sólbjerg Jakobsen,6817376005268964357
Københavns Omegns Storkreds,Liberal Alliance,Steffen Larsen,M,Steffen Larsen,7041610547934938118
Nordsjællands Storkreds,Liberal Alliance,Steffen Sjørslev,M,Steffen Sjørslev,7043850516993360902
Vestjyllands Storkreds,Liberal Alliance,Svend Stein Olsen,M,Svend Stein Olsen,6890899542423061510
,Liberal Alliance,Liberal Alliance,,Liberal Alliance,6919441762524185605
,Liberal Alliance,Steffen W. Frølund,,Steffen Frølund,7144334913998423045
,Liberal Alliance,Charlotte Nellemann,,Charlotte Nellemann,7138772444043772934
Sjællands Storkreds,Liberal Alliance,Frederik Grünfeld,,Frederik Gr�nfeld,7129600035281601542
Nordsjællands Storkreds,Liberal Alliance,Marianne Porsborg,,marianneporsborg,7148400425018950662
Københavns Omegns Storkreds,Moderaterne,Ammar Ali,K,Ammaralidk,7129591282527814662
Fyns Storkreds,Moderaterne,Carsten Damgaard,M,Carsten,6960308174638826503
Nordsjællands Storkreds,Moderaterne,Erick Thürmer,M,Erick Thürmer,6982821061944624134
Vestjyllands Storkreds,Moderaterne,Jeppe Søe,M,Jeppe Søe,6645212034005745669
Københavns Storkreds,Moderaterne,Lean Milo,M,leanmilomoderaterne,7135735241432253445
