ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
443490725722399,"Lars Ole Skovgaard Larsen, Folketingskandidat for Danmarksdemokraterne",Victor Paarup Jensen,19450,53,Danmarksdemokraterne,Politiker,Blå blok,Mand,Side,,,
665462313475794,Lise Bech,Bech Lise,4122,14,Danmarksdemokraterne,Politiker,Blå blok,Kvinde,Side,MF'ere,,FTV kandidat
759667427415169,Marlene Harpsøe,Harpsøe Marlene Birkehøj,2335,7,Danmarksdemokraterne,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
33510214383,Pia Kjærsgaard,Dansk Folkeparti,74527,61,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,MF'ere,,FTV kandidat
100289749292553,Majbritt Birkholm Dansk Folkeparti,Dansk Folkeparti,18761,25,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
102908218825849,Mikael Jensen,Mikael Lund Jensen,4023,8,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,
104743442430993,Kim Christiansen - politiker,Dansk Folkeparti,3726,6,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
105483419009851,Josephine Alstrup - Dansk Folkeparti,Dansk Folkeparti,5462,16,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
106071141422092,Jannie Bøgh -Dansk folkeparti,Dansk Folkeparti,20844,35,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
110131401307719,Cecilie Winther Kristensen  - Dansk Folkeparti,Dansk Folkeparti,4406,1,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
110131401307719,Cecilie Winther Kristensen  - Dansk Folkeparti,Cecilie Winther Kristensen,148,2,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
