Parti,Antal sider,Brugt i alt,Antal annoncer,Day,Blok
Andet,3,10069,6,20221009,Andet
Danmarksdemokraterne,2,311,27,20221009,Blå blok
Dansk Folkeparti,13,17139,262,20221009,Blå blok
Enhedslisten,1,108,4,20221009,Rød blok
Konservative,60,62233,627,20221009,Blå blok
Kristendemokraterne,8,2674,23,20221009,Blå blok
Liberal Alliance,8,124257,290,20221009,Blå blok
Moderaterne,7,11758,54,20221009,Blå blok
Nye Borgerlige,14,7172,221,20221009,Blå blok
Radikale Venstre,16,6891,115,20221009,Rød blok
Socialdemokratiet,24,43743,159,20221009,Rød blok
Socialistisk Folkeparti,32,18220,184,20221009,Rød blok
Venstre,37,38922,637,20221009,Blå blok
Alternativet,4,4720,22,20221010,Rød blok
Andet,2,7901,5,20221010,Andet
Danmarksdemokraterne,2,338,25,20221010,Blå blok
Dansk Folkeparti,12,16560,271,20221010,Blå blok
Enhedslisten,1,1188,1,20221010,Rød blok
Konservative,56,64221,618,20221010,Blå blok
Kristendemokraterne,4,1379,13,20221010,Blå blok
Liberal Alliance,8,101765,310,20221010,Blå blok
Moderaterne,7,11549,54,20221010,Blå blok
Nye Borgerlige,12,7480,239,20221010,Blå blok
Radikale Venstre,19,9014,136,20221010,Rød blok
Socialdemokratiet,25,47661,169,20221010,Rød blok
Socialistisk Folkeparti,33,20369,207,20221010,Rød blok
Venstre,35,42345,597,20221010,Blå blok
Alternativet,4,6445,24,20221011,Rød blok
Andet,2,9954,6,20221011,Andet
Danmarksdemokraterne,3,560,28,20221011,Blå blok
Dansk Folkeparti,13,17504,244,20221011,Blå blok
Enhedslisten,1,8267,13,20221011,Rød blok
Frie Grønne,1,112,1,20221011,Rød blok
Konservative,62,90192,655,20221011,Blå blok
Kristendemokraterne,4,1318,11,20221011,Blå blok
Liberal Alliance,10,101428,201,20221011,Blå blok
Moderaterne,7,11631,60,20221011,Blå blok
Nye Borgerlige,18,9892,315,20221011,Blå blok
Radikale Venstre,21,10651,150,20221011,Rød blok
Socialdemokratiet,24,41411,196,20221011,Rød blok
Socialistisk Folkeparti,39,27279,243,20221011,Rød blok
Venstre,39,49094,677,20221011,Blå blok
Alternativet,4,8412,33,20221012,Rød blok
Andet,1,283,4,20221012,Andet
Danmarksdemokraterne,5,1181,35,20221012,Blå blok
Dansk Folkeparti,12,16439,212,20221012,Blå blok
Enhedslisten,4,9243,18,20221012,Rød blok
Frie Grønne,1,176,2,20221012,Rød blok
Konservative,64,91433,657,20221012,Blå blok
Kristendemokraterne,5,981,14,20221012,Blå blok
Liberal Alliance,12,109186,250,20221012,Blå blok
Moderaterne,7,11652,58,20221012,Blå blok
Nye Borgerlige,16,10863,299,20221012,Blå blok
Radikale Venstre,23,11458,161,20221012,Rød blok
Socialdemokratiet,26,41075,202,20221012,Rød blok
Socialistisk Folkeparti,37,25682,249,20221012,Rød blok
Venstre,39,57714,650,20221012,Blå blok
Alternativet,5,6805,28,20221013,Rød blok
Andet,1,225,3,20221013,Andet
Danmarksdemokraterne,8,1882,44,20221013,Blå blok
Dansk Folkeparti,12,19966,214,20221013,Blå blok
Enhedslisten,4,7135,18,20221013,Rød blok
Frie Grønne,1,262,3,20221013,Rød blok
Konservative,64,73619,666,20221013,Blå blok
Kristendemokraterne,11,2002,20,20221013,Blå blok
Liberal Alliance,12,110886,264,20221013,Blå blok
Moderaterne,7,11279,60,20221013,Blå blok
Nye Borgerlige,16,11849,289,20221013,Blå blok
Radikale Venstre,20,10957,152,20221013,Rød blok
Socialdemokratiet,29,40798,248,20221013,Rød blok
Socialistisk Folkeparti,37,27906,272,20221013,Rød blok
Venstre,45,83927,817,20221013,Blå blok
Alternativet,5,8401,34,20221014,Rød blok
Andet,1,223,3,20221014,Andet
Danmarksdemokraterne,8,1556,44,20221014,Blå blok
Dansk Folkeparti,14,23972,229,20221014,Blå blok
Enhedslisten,4,3862,18,20221014,Rød blok
Frie Grønne,2,410,5,20221014,Rød blok
Konservative,67,78073,683,20221014,Blå blok
Kristendemokraterne,10,2284,20,20221014,Blå blok
Liberal Alliance,15,108707,263,20221014,Blå blok
Moderaterne,9,10354,54,20221014,Blå blok
Nye Borgerlige,13,13976,296,20221014,Blå blok
Radikale Venstre,21,13518,179,20221014,Rød blok
Socialdemokratiet,30,55338,245,20221014,Rød blok
Socialistisk Folkeparti,36,28722,285,20221014,Rød blok
Venstre,50,105284,924,20221014,Blå blok
Alternativet,5,8335,37,20221015,Rød blok
Andet,1,256,4,20221015,Andet
Danmarksdemokraterne,4,820,32,20221015,Blå blok
Dansk Folkeparti,10,22751,112,20221015,Blå blok
Enhedslisten,4,4585,8,20221015,Rød blok
Frie Grønne,2,971,5,20221015,Rød blok
Konservative,65,78462,463,20221015,Blå blok
Kristendemokraterne,9,2405,16,20221015,Blå blok
Liberal Alliance,14,122795,265,20221015,Blå blok
Moderaterne,9,11415,56,20221015,Blå blok
Nye Borgerlige,16,15467,332,20221015,Blå blok
Radikale Venstre,20,12537,177,20221015,Rød blok
Socialdemokratiet,32,54176,261,20221015,Rød blok
Socialistisk Folkeparti,36,38505,291,20221015,Rød blok
Venstre,55,103831,930,20221015,Blå blok
Alternativet,6,8340,40,20221016,Rød blok
Andet,1,127,1,20221016,Andet
Danmarksdemokraterne,4,1096,36,20221016,Blå blok
Dansk Folkeparti,10,17097,121,20221016,Blå blok
Enhedslisten,3,1218,4,20221016,Rød blok
Frie Grønne,1,690,2,20221016,Rød blok
Konservative,65,85742,493,20221016,Blå blok
Kristendemokraterne,6,2069,13,20221016,Blå blok
Liberal Alliance,15,125608,251,20221016,Blå blok
Moderaterne,10,13227,56,20221016,Blå blok
Nye Borgerlige,17,16606,338,20221016,Blå blok
Radikale Venstre,21,12146,186,20221016,Rød blok
Socialdemokratiet,31,57098,260,20221016,Rød blok
Socialistisk Folkeparti,36,43973,295,20221016,Rød blok
Venstre,57,106553,978,20221016,Blå blok
Alternativet,7,8181,37,20221017,Rød blok
Andet,1,179,2,20221017,Andet
Danmarksdemokraterne,6,1601,40,20221017,Blå blok
Dansk Folkeparti,14,22201,213,20221017,Blå blok
Enhedslisten,6,1948,13,20221017,Rød blok
Frie Grønne,1,404,3,20221017,Rød blok
Konservative,65,88321,550,20221017,Blå blok
Kristendemokraterne,5,1134,9,20221017,Blå blok
Liberal Alliance,15,121386,265,20221017,Blå blok
Moderaterne,7,11675,54,20221017,Blå blok
Nye Borgerlige,17,17626,347,20221017,Blå blok
Radikale Venstre,25,10882,182,20221017,Rød blok
Socialdemokratiet,32,53422,308,20221017,Rød blok
Socialistisk Folkeparti,35,33942,275,20221017,Rød blok
Venstre,57,107124,1016,20221017,Blå blok
Alternativet,7,18621,41,20221018,Rød blok
Andet,1,457,2,20221018,Andet
Danmarksdemokraterne,7,3026,49,20221018,Blå blok
Dansk Folkeparti,13,22960,277,20221018,Blå blok
Enhedslisten,8,11765,18,20221018,Rød blok
Frie Grønne,1,1212,5,20221018,Rød blok
Konservative,67,90983,593,20221018,Blå blok
Kristendemokraterne,9,2387,16,20221018,Blå blok
Liberal Alliance,16,118862,284,20221018,Blå blok
Moderaterne,7,10156,62,20221018,Blå blok
Nye Borgerlige,17,18568,344,20221018,Blå blok
Radikale Venstre,25,10914,208,20221018,Rød blok
Socialdemokratiet,39,78504,336,20221018,Rød blok
Socialistisk Folkeparti,37,38259,291,20221018,Rød blok
Venstre,56,105455,1063,20221018,Blå blok
Alternativet,4,8820,33,20221019,Rød blok
Andet,1,333,2,20221019,Andet
Danmarksdemokraterne,9,7981,74,20221019,Blå blok
Dansk Folkeparti,16,23528,292,20221019,Blå blok
Enhedslisten,8,12158,20,20221019,Rød blok
Frie Grønne,1,1918,5,20221019,Rød blok
Konservative,75,119445,675,20221019,Blå blok
Kristendemokraterne,11,2121,19,20221019,Blå blok
Liberal Alliance,19,114900,357,20221019,Blå blok
Moderaterne,9,13197,69,20221019,Blå blok
Nye Borgerlige,21,20544,404,20221019,Blå blok
Radikale Venstre,29,15004,211,20221019,Rød blok
Socialdemokratiet,45,82477,371,20221019,Rød blok
Socialistisk Folkeparti,40,37383,313,20221019,Rød blok
Venstre,55,111208,1142,20221019,Blå blok
Alternativet,5,7470,39,20221020,Rød blok
Danmarksdemokraterne,11,7964,88,20221020,Blå blok
Dansk Folkeparti,17,26818,317,20221020,Blå blok
Enhedslisten,10,11374,27,20221020,Rød blok
Frie Grønne,1,1688,10,20221020,Rød blok
Konservative,74,115759,701,20221020,Blå blok
Kristendemokraterne,13,3945,26,20221020,Blå blok
Liberal Alliance,19,104390,353,20221020,Blå blok
Moderaterne,9,17512,92,20221020,Blå blok
Nye Borgerlige,18,23619,387,20221020,Blå blok
Radikale Venstre,23,18321,241,20221020,Rød blok
Socialdemokratiet,43,91157,403,20221020,Rød blok
Socialistisk Folkeparti,38,42608,333,20221020,Rød blok
Venstre,58,114454,1181,20221020,Blå blok
Alternativet,7,7924,43,20221021,Rød blok
Andet,1,1094,4,20221021,Andet
Danmarksdemokraterne,10,9447,123,20221021,Blå blok
Dansk Folkeparti,18,31043,485,20221021,Blå blok
Enhedslisten,14,14091,38,20221021,Rød blok
Frie Grønne,1,2244,8,20221021,Rød blok
Konservative,74,129449,736,20221021,Blå blok
Kristendemokraterne,12,3879,31,20221021,Blå blok
Liberal Alliance,19,175113,390,20221021,Blå blok
Moderaterne,11,17848,102,20221021,Blå blok
Nye Borgerlige,20,26831,404,20221021,Blå blok
Radikale Venstre,24,20813,254,20221021,Rød blok
Socialdemokratiet,45,111043,445,20221021,Rød blok
Socialistisk Folkeparti,37,50394,362,20221021,Rød blok
Venstre,58,118257,1189,20221021,Blå blok
Alternativet,7,10550,35,20221022,Rød blok
Andet,1,162,2,20221022,Andet
Danmarksdemokraterne,10,9502,125,20221022,Blå blok
Dansk Folkeparti,17,32702,567,20221022,Blå blok
Enhedslisten,15,26153,46,20221022,Rød blok
Frie Grønne,1,2329,8,20221022,Rød blok
Konservative,77,141616,743,20221022,Blå blok
Kristendemokraterne,11,4382,30,20221022,Blå blok
Liberal Alliance,19,165223,400,20221022,Blå blok
Moderaterne,11,18095,93,20221022,Blå blok
Nye Borgerlige,21,27919,422,20221022,Blå blok
Radikale Venstre,25,23914,258,20221022,Rød blok
Socialdemokratiet,46,116167,495,20221022,Rød blok
Socialistisk Folkeparti,39,51000,364,20221022,Rød blok
Venstre,59,112929,1188,20221022,Blå blok
Alternativet,8,10501,42,20221023,Rød blok
Andet,2,436,5,20221023,Andet
Danmarksdemokraterne,11,13947,129,20221023,Blå blok
Dansk Folkeparti,17,34834,583,20221023,Blå blok
Enhedslisten,15,13167,42,20221023,Rød blok
Frie Grønne,1,2288,8,20221023,Rød blok
Konservative,72,137217,746,20221023,Blå blok
Kristendemokraterne,11,4626,37,20221023,Blå blok
Liberal Alliance,22,91752,420,20221023,Blå blok
Moderaterne,12,20484,95,20221023,Blå blok
Nye Borgerlige,21,31988,428,20221023,Blå blok
Radikale Venstre,26,26866,283,20221023,Rød blok
Socialdemokratiet,50,124102,498,20221023,Rød blok
Socialistisk Folkeparti,42,52819,363,20221023,Rød blok
Venstre,60,109698,1243,20221023,Blå blok
Alternativet,7,9125,48,20221024,Rød blok
Andet,1,171,2,20221024,Andet
Danmarksdemokraterne,11,21836,270,20221024,Blå blok
Dansk Folkeparti,16,31491,564,20221024,Blå blok
Enhedslisten,14,35168,55,20221024,Rød blok
Frie Grønne,1,1289,5,20221024,Rød blok
Konservative,83,121552,838,20221024,Blå blok
Kristendemokraterne,14,4908,42,20221024,Blå blok
Liberal Alliance,20,18300,230,20221024,Blå blok
Moderaterne,13,17178,146,20221024,Blå blok
Nye Borgerlige,22,41694,577,20221024,Blå blok
Radikale Venstre,28,30586,344,20221024,Rød blok
Socialdemokratiet,47,122731,535,20221024,Rød blok
Socialistisk Folkeparti,43,51753,383,20221024,Rød blok
Venstre,64,121508,1364,20221024,Blå blok
Alternativet,6,4822,46,20221025,Rød blok
Andet,1,192,2,20221025,Andet
Danmarksdemokraterne,14,22237,243,20221025,Blå blok
Dansk Folkeparti,18,35714,555,20221025,Blå blok
