Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
2079067062409423,Mona Juul,Juul Mona,Konservative,666,2,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Blå blok
104665415387809,Michelle West Folketingskandidat,Michelle West,Kristendemokraterne,199,3,Politiker,Kvinde,Side,,,,20221001,Blå blok
100114205665334,Thorbjørn Jacobsen,Thorbjorn Futtrup Jacobsen,Liberal Alliance,202,1,Politiker,Mand,Side,,,,20221001,Blå blok
105652505550626,Steffen W. Frølund,Steffen W. Frølund,Liberal Alliance,391,11,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
1638487316462005,Kim Bjoernstrup,Kim Bjoernstrup,Liberal Alliance,495,9,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
101070612695482,Lean Milo • Moderaterne,Lean Milo - Moderaterne,Moderaterne,366,14,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
103493782327951,Tobias Grotkjær Elmstrøm,Tobias Grotkjær Elmstrøm,Moderaterne,710,9,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
113158773469624,Pernille Vermund,Nye Borgerlige,Nye Borgerlige,248,28,Politiker,Kvinde,Side,MF'ere,Partileder,FTV kandidat,20221001,Blå blok
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,Nye Borgerlige,806,35,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
533374726861312,Kim Edberg Andersen,Nye Borgerlige,Nye Borgerlige,249,32,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
718327901589937,Mette Thiesen,Nye Borgerlige,Nye Borgerlige,295,35,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Blå blok
1104790642968068,Peter Seier Christensen,Nye Borgerlige,Nye Borgerlige,307,19,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
110201045154,Hovedstadens Radikale Venstre,Hovedstadens Radikale Venstre,Radikale Venstre,133,1,Partiside,Partiside,Side,,,,20221001,Rød blok
100297329347407,Peter Zinckernagel,Peter Zinckernagel,Radikale Venstre,350,3,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
101564562484880,Steffen Helledie,Steffen Holme Helledie,Radikale Venstre,172,9,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
107066291627436,Thomas Rohden,Thomas Rohden,Radikale Venstre,138,1,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
113588132144811,Ruben Kidde,Ruben Kidde,Radikale Venstre,133,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
116643481027130,Brian Køster - Radikale Venstre,Brian Køster,Radikale Venstre,152,6,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
132364993978468,Andreas Steenberg,Andreas Steenberg,Radikale Venstre,1035,20,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
447217575331947,Martin Lidegaard,Martin Lidegaard,Radikale Venstre,137,3,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
41459763029,Socialdemokratiet,Socialdemokratiet,Socialdemokratiet,7295,15,Partiside,Partiside,Side,Nationalt parti,,,20221001,Rød blok
102514162425194,Frederik Vad,Nielsen Frederik Vad,Socialdemokratiet,249,1,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
104051241982782,Fie Hækkerup,Fie Thorsted Hækkerup,Socialdemokratiet,240,9,Politiker,Kvinde,Side,,,,20221001,Rød blok
107577065102777,Anna Thusgård,Anna Thusgård Rørstrøm,Socialdemokratiet,239,3,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
148326242368088,Lars Gaardhøj,Socialdemokratiet Region Hovedstaden,Socialdemokratiet,111,1,Politiker,Mand,Side,,,,20221001,Rød blok
253692938327792,Bjørn Brandenborg,Søren Mortensen,Socialdemokratiet,159,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
270431402967189,Benny Engelbrecht,Engelbrecht Benny,Socialdemokratiet,556,19,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
526620377500921,Peter Hummelgaard,Peter Hummelgaard,Socialdemokratiet,201,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
1336984893024301,Iben Sønderup i Folketinget,Sønderup Iben,Socialdemokratiet,119,2,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Rød blok
1396459723941912,Christian Rabjerg Madsen,Madsen Christian Rabjerg,Socialdemokratiet,204,14,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
30196574028,Serdal Benli,Serdal Benli,Socialistisk Folkeparti,343,3,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
69985338410,Jacob Mark,SF,Socialistisk Folkeparti,605,4,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
100339911865166,Niels Haxthausen,Haxthausen Niels Ulrik,Socialistisk Folkeparti,151,1,Politiker,Mand,Side,,,,20221001,Rød blok
100445466003316,Sofie F. Villadsen,Sofie Falck Villadsen,Socialistisk Folkeparti,149,3,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Rød blok
110272581108922,"Søren Lahn Sloth, SF",SF Favrskov,Socialistisk Folkeparti,738,6,Politiker,Mand,Side,,,,20221001,Rød blok
116061635098137,Karina Lorentzen Dehnhardt,SF,Socialistisk Folkeparti,409,4,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Rød blok
323782467803321,Carl Valentin,SF,Socialistisk Folkeparti,232,2,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
350242375125258,Signe Munk,SF,Socialistisk Folkeparti,942,4,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Rød blok
444780689021706,Balder Mørk Andersen,Andersen Balder Mørk,Socialistisk Folkeparti,242,2,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
516525765382591,Claus Jørgensen,Jørgensen Claus,Socialistisk Folkeparti,254,3,Politiker,Mand,Side,,,FTV kandidat,20221001,Rød blok
1246666085407861,Karsten Hønge,SF,Socialistisk Folkeparti,218,4,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Rød blok
2.0795E+15,Charlotte Broman Mølbæk,SF,Socialistisk Folkeparti,316,3,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Rød blok
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",Venstre,2203,13,Partiside,Partiside,Side,Nationalt parti,,,20221001,Blå blok
167412043730,Venstres Ungdom - VU,Venstres Ungdom,Venstre,117,2,Partiside,Partiside,Side,,,,20221001,Blå blok
101491259185540,Marianne Lynghøj,Marianne Lynghoj Pedersen,Venstre,259,3,Politiker,Kvinde,Side,,,,20221001,Blå blok
102900672020662,Iben Krog,Iben Krog,Venstre,374,7,Politiker,Kvinde,Side,,,,20221001,Blå blok
104705468616273,Rasmus Hylleberg,Rasmus Hylleberg,Venstre,122,9,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
